train/success_rate,test/success_rate,epoch,stats_o/mean,stats_g/std,stats_g/mean,test/episode,test/mean_Q,train/episode,stats_o/std
0.0033333333333333335,0.0,0,0.17063724994659424,0.12520447373390198,0.7409908175468445,20.0,-3.2821435928344727,100.0,0.06951174885034561
0.0,0.0,1,0.17165525257587433,0.12214938551187515,0.7435643672943115,40.0,-5.299544811248779,200.0,0.06812571734189987
0.0033333333333333335,0.0,2,0.17112481594085693,0.11991444230079651,0.7440014481544495,60.0,-7.2683424949646,300.0,0.0672430545091629
0.006666666666666667,0.0,3,0.171351358294487,0.1263539046049118,0.7443824410438538,80.0,-9.267401695251465,400.0,0.06919508427381516
0.013333333333333334,0.0,4,0.17185866832733154,0.12843440473079681,0.7457367777824402,100.0,-11.0084867477417,500.0,0.06949800997972488
0.0033333333333333335,0.0,5,0.171911358833313,0.13048742711544037,0.7451856136322021,120.0,-12.875693321228027,600.0,0.07159044593572617
0.0,0.03333333333333333,6,0.1723044365644455,0.1348600834608078,0.7470181584358215,140.0,-14.014965057373047,700.0,0.07383392751216888
0.01,0.03333333333333333,7,0.17256109416484833,0.1393945962190628,0.7488920092582703,160.0,-14.012478828430176,800.0,0.07664899528026581
0.03333333333333333,0.0,8,0.1730475276708603,0.14448292553424835,0.7508267760276794,180.0,-15.475398063659668,900.0,0.078087218105793
0.01,0.016666666666666666,9,0.17313222587108612,0.14718066155910492,0.751694917678833,200.0,-16.54627799987793,1000.0,0.07984591275453568
0.03,0.05000000000000001,10,0.17336703836917877,0.1512698084115982,0.7522552013397217,220.0,-17.942337036132812,1100.0,0.08180462568998337
0.013333333333333334,0.09999999999999999,11,0.17386001348495483,0.15648792684078217,0.7535765767097473,240.0,-16.507944107055664,1200.0,0.08452657610177994
0.04666666666666666,0.08333333333333333,12,0.17450876533985138,0.16232015192508698,0.7562569975852966,260.0,-17.509408950805664,1300.0,0.08713963627815247
0.060000000000000005,0.06666666666666667,13,0.17486029863357544,0.1699966937303543,0.7583428025245667,280.0,-17.399866104125977,1400.0,0.09091588109731674
0.05333333333333334,0.09999999999999999,14,0.17521150410175323,0.175858736038208,0.7606634497642517,300.0,-15.478926658630371,1500.0,0.09330002218484879
0.06999999999999999,0.08333333333333333,15,0.17578323185443878,0.17885977029800415,0.7635348439216614,320.0,-16.69834327697754,1600.0,0.0947500690817833
0.08,0.21666666666666667,16,0.17644889652729034,0.1815938800573349,0.7667131423950195,340.0,-13.607460975646973,1700.0,0.09643778949975967
0.07,0.13333333333333333,17,0.1772352010011673,0.18279646337032318,0.7704927325248718,360.0,-17.48805046081543,1800.0,0.09701067209243774
0.049999999999999996,0.18333333333333335,18,0.17763514816761017,0.18355011940002441,0.7733485698699951,380.0,-16.22520637512207,1900.0,0.09723816066980362
0.09999999999999999,0.21666666666666665,19,0.1781606674194336,0.18372054398059845,0.7762247920036316,400.0,-14.366058349609375,2000.0,0.0972992554306984
0.09333333333333334,0.21666666666666667,20,0.17867596447467804,0.1838863343000412,0.7789847254753113,420.0,-15.77072811126709,2100.0,0.0971405878663063
0.10666666666666667,0.2333333333333333,21,0.17910225689411163,0.18417470157146454,0.7812416553497314,440.0,-15.330902099609375,2200.0,0.09771158546209335
0.09333333333333332,0.3333333333333333,22,0.17956392467021942,0.18467479944229126,0.7834982872009277,460.0,-14.61009693145752,2300.0,0.09802599996328354
0.12333333333333334,0.26666666666666666,23,0.17992277443408966,0.1845862865447998,0.7851244807243347,480.0,-15.819969177246094,2400.0,0.09794076532125473
0.11,0.3666666666666667,24,0.18035918474197388,0.18432866036891937,0.7869090437889099,500.0,-13.220230102539062,2500.0,0.0980345606803894
0.13,0.5333333333333333,25,0.1806970238685608,0.18343204259872437,0.7884390354156494,520.0,-13.902865409851074,2600.0,0.09779945760965347
0.14,0.4166666666666667,26,0.18103812634944916,0.1832519769668579,0.7898659706115723,540.0,-12.701094627380371,2700.0,0.09788214415311813
0.12666666666666668,0.2333333333333333,27,0.18142658472061157,0.18304848670959473,0.7913914322853088,560.0,-15.733413696289062,2800.0,0.09812072664499283
0.18999999999999997,0.46666666666666673,28,0.18169306218624115,0.1824960857629776,0.7927691340446472,580.0,-12.241999626159668,2900.0,0.0979585349559784
0.17666666666666667,0.45,29,0.18198789656162262,0.18185226619243622,0.7939658164978027,600.0,-13.113537788391113,3000.0,0.0980444923043251
0.12,0.39999999999999997,30,0.1821848601102829,0.18117862939834595,0.7950405478477478,620.0,-11.838664054870605,3100.0,0.09788348525762558
0.13333333333333333,0.48333333333333334,31,0.18243664503097534,0.1807035654783249,0.7960708737373352,640.0,-13.345841407775879,3200.0,0.09803613275289536
0.16333333333333333,0.45,32,0.18266141414642334,0.18058818578720093,0.796745777130127,660.0,-12.297480583190918,3300.0,0.09824930876493454
0.14666666666666664,0.3666666666666667,33,0.18286500871181488,0.1804703325033188,0.7975897789001465,680.0,-12.7535400390625,3400.0,0.09818333387374878
0.16,0.3333333333333333,34,0.18294060230255127,0.18014423549175262,0.7980754971504211,700.0,-14.707783699035645,3500.0,0.09839022904634476
0.1366666666666667,0.3666666666666667,35,0.18310701847076416,0.1804555058479309,0.7987589836120605,720.0,-16.34233283996582,3600.0,0.09876970201730728
