stats_o/std,epoch,train/episode,stats_g/std,test/episode,stats_g/mean,train/success_rate,test/mean_Q,stats_o/mean,test/success_rate
0.041804585605859756,0,100.0,0.06958107650279999,20.0,0.8386263251304626,0.04,-2.4971375465393066,0.2011576145887375,0.09999999999999999
0.045790184289216995,1,200.0,0.07068131119012833,40.0,0.8388988375663757,0.07666666666666666,-4.726644515991211,0.20110177993774414,0.016666666666666666
0.04670412465929985,2,300.0,0.07179399579763412,60.0,0.8383524417877197,0.07,-6.229515552520752,0.20114119350910187,0.03333333333333333
0.04715747758746147,3,400.0,0.07333389669656754,80.0,0.8390546441078186,0.06666666666666667,-8.324886322021484,0.20142489671707153,0.05000000000000001
0.04817269369959831,4,500.0,0.07422132790088654,100.0,0.8392150402069092,0.08,-10.124385833740234,0.20146672427654266,0.03333333333333333
0.04837329313158989,5,600.0,0.07477622479200363,120.0,0.8390535712242126,0.06333333333333334,-11.754734992980957,0.20149743556976318,0.03333333333333333
0.048848409205675125,6,700.0,0.07444837689399719,140.0,0.8387604355812073,0.06666666666666667,-12.023311614990234,0.20152170956134796,0.11666666666666668
0.04912532866001129,7,800.0,0.07403376698493958,160.0,0.8386540412902832,0.09000000000000001,-13.40029525756836,0.201522096991539,0.11666666666666665
0.04961400106549263,8,900.0,0.07372158020734787,180.0,0.8386938571929932,0.06333333333333334,-15.820076942443848,0.2015078216791153,0.05000000000000001
0.05069660767912865,9,1000.0,0.0738191083073616,200.0,0.838721752166748,0.10333333333333333,-16.60822868347168,0.20153957605361938,0.10000000000000002
0.0507970005273819,10,1100.0,0.0739549919962883,220.0,0.8383974432945251,0.10666666666666665,-16.38276481628418,0.2014307975769043,0.15
0.05079197883605957,11,1200.0,0.07416614890098572,240.0,0.8380990028381348,0.07666666666666667,-18.046316146850586,0.20136873424053192,0.11666666666666665
0.05084087327122688,12,1300.0,0.07410231232643127,260.0,0.8381009697914124,0.06999999999999999,-20.145742416381836,0.20136411488056183,0.05000000000000001
0.05120224133133888,13,1400.0,0.07395945489406586,280.0,0.838045060634613,0.09333333333333334,-21.185359954833984,0.20132069289684296,0.08333333333333333
0.05152742564678192,14,1500.0,0.07385746389627457,300.0,0.8380679488182068,0.10333333333333333,-21.39931297302246,0.2012953758239746,0.08333333333333333
0.05226067826151848,15,1600.0,0.07368073612451553,320.0,0.8382536768913269,0.10666666666666669,-22.26814079284668,0.20127518475055695,0.13333333333333333
0.05312060937285423,16,1700.0,0.0736764594912529,340.0,0.8383300304412842,0.08,-21.722341537475586,0.20123285055160522,0.09999999999999999
0.05477051064372063,17,1800.0,0.07395272701978683,360.0,0.8385545611381531,0.13333333333333333,-22.6396541595459,0.20130039751529694,0.09999999999999999
0.055854812264442444,18,1900.0,0.07403747737407684,380.0,0.8385578989982605,0.16333333333333333,-23.167282104492188,0.201238214969635,0.11666666666666665
