epoch,stats_o/mean,stats_g/std,test/mean_Q,stats_g/mean,stats_o/std,test/episode,train/episode,test/success_rate,train/success_rate
38,0.18293331563472748,0.18637748062610626,-11.491469383239746,0.7974563241004944,0.10651540011167526,780.0,3900.0,0.3833333333333333,0.13333333333333333
39,0.18302924931049347,0.18623507022857666,-13.676895141601562,0.797766923904419,0.10680645704269409,800.0,4000.0,0.3333333333333333,0.1466666666666667
40,0.18313761055469513,0.18580687046051025,-14.256958961486816,0.7984552979469299,0.10696402192115784,820.0,4100.0,0.2833333333333333,0.16666666666666666
41,0.18331043422222137,0.18545545637607574,-13.612701416015625,0.7990286350250244,0.10708779096603394,840.0,4200.0,0.3166666666666667,0.15333333333333335
42,0.18345288932323456,0.18520097434520721,-11.83437728881836,0.7997502684593201,0.10722619295120239,860.0,4300.0,0.45,0.21
43,0.183496356010437,0.18493874371051788,-13.107067108154297,0.8001149296760559,0.10735663026571274,880.0,4400.0,0.4000000000000001,0.18333333333333335
44,0.18359947204589844,0.18463371694087982,-13.005200386047363,0.8008671402931213,0.10747498273849487,900.0,4500.0,0.31666666666666665,0.19000000000000003
45,0.18368422985076904,0.1844136267900467,-10.63428783416748,0.8013013005256653,0.10732167214155197,920.0,4600.0,0.5,0.13
46,0.18378107249736786,0.18405616283416748,-12.392151832580566,0.8018712997436523,0.10740665346384048,940.0,4700.0,0.4166666666666667,0.14333333333333334
47,0.18389607965946198,0.1839628666639328,-10.177840232849121,0.8024289608001709,0.10734232515096664,960.0,4800.0,0.4833333333333334,0.17666666666666667
48,0.18396137654781342,0.18366019427776337,-12.256424903869629,0.8029613494873047,0.10729936510324478,980.0,4900.0,0.43333333333333335,0.1366666666666667
49,0.1840684562921524,0.1832781583070755,-12.823872566223145,0.8035531640052795,0.10728032141923904,1000.0,5000.0,0.48333333333333334,0.20333333333333334
