test/mean_Q,test/success_rate,stats_o/mean,train/episode,stats_g/std,test/episode,epoch,train/success_rate,stats_g/mean,stats_o/std
-3.024197578430176,0.0,0.20343445241451263,100.0,0.09044918417930603,20.0,0,0.02,0.8424674868583679,0.04573270305991173
-4.586122035980225,0.05000000000000001,0.20396947860717773,200.0,0.0919700637459755,40.0,1,0.04666666666666667,0.845482587814331,0.04443766549229622
-6.442680358886719,0.08333333333333333,0.20405666530132294,300.0,0.09311429411172867,60.0,2,0.03333333333333333,0.8461813926696777,0.047591403126716614
-8.355555534362793,0.03333333333333333,0.20407922565937042,400.0,0.09358248114585876,80.0,3,0.04,0.8463775515556335,0.048653315752744675
-9.816627502441406,0.016666666666666666,0.2041407972574234,500.0,0.0929320678114891,100.0,4,0.04,0.8462846279144287,0.052101630717515945
-11.928479194641113,0.016666666666666666,0.20420725643634796,600.0,0.0944521501660347,120.0,5,0.05000000000000001,0.8462759852409363,0.05751047655940056
-13.285690307617188,0.016666666666666666,0.20418202877044678,700.0,0.09529974311590195,140.0,6,0.03,0.8464521765708923,0.05817262828350067
-14.129794120788574,0.06666666666666667,0.20427316427230835,800.0,0.09568717330694199,160.0,7,0.03666666666666667,0.8465652465820312,0.05884118750691414
-14.883658409118652,0.06666666666666667,0.20419448614120483,900.0,0.09570149332284927,180.0,8,0.043333333333333335,0.846322238445282,0.05936543270945549
-15.416275978088379,0.08333333333333333,0.2039574831724167,1000.0,0.09636499732732773,200.0,9,0.049999999999999996,0.8457274436950684,0.06064692512154579
-17.995134353637695,0.03333333333333333,0.20416009426116943,1100.0,0.09711796045303345,220.0,10,0.05333333333333334,0.8458892703056335,0.06238293647766113
-19.777997970581055,0.016666666666666666,0.20417208969593048,1200.0,0.09774639457464218,240.0,11,0.03333333333333333,0.8460102677345276,0.06427551805973053
-20.14475440979004,0.016666666666666666,0.20424942672252655,1300.0,0.09822064638137817,260.0,12,0.05333333333333334,0.8459715843200684,0.06539156287908554
-19.695343017578125,0.05000000000000001,0.20420604944229126,1400.0,0.0985260009765625,280.0,13,0.05333333333333334,0.8462620377540588,0.06683800369501114
-19.295764923095703,0.09999999999999999,0.20434589684009552,1500.0,0.09884276241064072,300.0,14,0.08333333333333333,0.8464807868003845,0.06922824680805206
