test/success_rate,stats_o/std,stats_g/mean,train/success_rate,test/episode,test/mean_Q,stats_o/mean,stats_g/std,epoch,train/episode
0.0,0.07462483644485474,0.7427214980125427,0.006666666666666667,20.0,-3.164407730102539,0.17132550477981567,0.12623313069343567,0,100.0
0.0,0.07016827911138535,0.7424550652503967,0.0,40.0,-5.21209192276001,0.17165856063365936,0.11971769481897354,1,200.0
0.0,0.0690341591835022,0.7438109517097473,0.0033333333333333335,60.0,-7.013916015625,0.1712690144777298,0.12136173248291016,2,300.0
0.0,0.07103005051612854,0.744318962097168,0.0033333333333333335,80.0,-9.09555721282959,0.17125505208969116,0.12175898998975754,3,400.0
0.03333333333333333,0.07248789817094803,0.7444490790367126,0.0033333333333333335,100.0,-10.773375511169434,0.17130117118358612,0.12735103070735931,4,500.0
0.016666666666666666,0.07289470732212067,0.7446260452270508,0.0033333333333333335,120.0,-12.382451057434082,0.17115585505962372,0.1287396401166916,5,600.0
0.0,0.07390676438808441,0.7462694048881531,0.0033333333333333335,140.0,-13.766077995300293,0.17168138921260834,0.13077883422374725,6,700.0
0.03333333333333333,0.07563839852809906,0.7486846446990967,0.016666666666666666,160.0,-13.588051795959473,0.1718810349702835,0.13460245728492737,7,800.0
0.0,0.07751283049583435,0.7510266304016113,0.02,180.0,-15.731669425964355,0.17222678661346436,0.13957379758358002,8,900.0
0.016666666666666666,0.07816603779792786,0.7526302933692932,0.01,200.0,-15.903094291687012,0.17216461896896362,0.1438489556312561,9,1000.0
0.10000000000000002,0.07865199446678162,0.7541404366493225,0.016666666666666666,220.0,-16.52984619140625,0.17244474589824677,0.14641647040843964,10,1100.0
0.06666666666666667,0.07966607809066772,0.7550917267799377,0.023333333333333334,240.0,-17.731313705444336,0.1727340817451477,0.14965790510177612,11,1200.0
0.06666666666666667,0.08085456490516663,0.7577666640281677,0.05000000000000001,260.0,-17.80977439880371,0.1731908768415451,0.15179304778575897,12,1300.0
0.10000000000000002,0.08226899802684784,0.7596954703330994,0.043333333333333335,280.0,-16.049882888793945,0.1736285239458084,0.154615119099617,13,1400.0
0.03333333333333333,0.08479636162519455,0.7614163756370544,0.03,300.0,-16.628231048583984,0.1741139441728592,0.15903206169605255,14,1500.0
0.10000000000000002,0.08695214241743088,0.7640934586524963,0.07,320.0,-16.478017807006836,0.17477096617221832,0.16229037940502167,15,1600.0
0.09999999999999999,0.08812538534402847,0.7666678428649902,0.07,340.0,-14.611515998840332,0.17550359666347504,0.16461707651615143,16,1700.0
0.13333333333333333,0.08905628323554993,0.7703952789306641,0.06666666666666667,360.0,-15.11014175415039,0.1763446182012558,0.16644293069839478,17,1800.0
0.15,0.08959273248910904,0.7725352644920349,0.05666666666666667,380.0,-14.527201652526855,0.17693936824798584,0.16801144182682037,18,1900.0
0.19999999999999998,0.09069211035966873,0.7747748494148254,0.07333333333333333,400.0,-15.335492134094238,0.17760087549686432,0.1697336882352829,19,2000.0
0.18333333333333335,0.09098979085683823,0.777270495891571,0.1366666666666667,420.0,-13.52575969696045,0.1781514286994934,0.16999836266040802,20,2100.0
0.15,0.09154194593429565,0.7796275615692139,0.12,440.0,-13.807888984680176,0.1786927431821823,0.17108957469463348,21,2200.0
0.31666666666666665,0.09195682406425476,0.7817221283912659,0.12333333333333335,460.0,-13.096138000488281,0.17914539575576782,0.1715351790189743,22,2300.0
0.26666666666666666,0.09249287843704224,0.783214271068573,0.11,480.0,-14.09819507598877,0.17956401407718658,0.17227594554424286,23,2400.0
0.3,0.09303227066993713,0.7844871878623962,0.09999999999999999,500.0,-13.287727355957031,0.17996425926685333,0.17328572273254395,24,2500.0
0.16666666666666666,0.09317312389612198,0.7857066988945007,0.12666666666666668,520.0,-15.671875,0.18022210896015167,0.17341618239879608,25,2600.0
0.3833333333333333,0.09319677203893661,0.7871739268302917,0.12333333333333334,540.0,-13.58521556854248,0.1805390566587448,0.17362122237682343,26,2700.0
0.2333333333333333,0.09320822358131409,0.7883079648017883,0.11333333333333333,560.0,-14.911364555358887,0.18077878654003143,0.1736762523651123,27,2800.0
0.43333333333333335,0.0930742546916008,0.7896894812583923,0.13,580.0,-12.932689666748047,0.1810925155878067,0.17366959154605865,28,2900.0
0.4166666666666667,0.09315144270658493,0.7910942435264587,0.12333333333333334,600.0,-14.596721649169922,0.18141432106494904,0.17357464134693146,29,3000.0
0.4333333333333333,0.09355954080820084,0.792127788066864,0.13333333333333333,620.0,-14.142985343933105,0.18167836964130402,0.17343372106552124,30,3100.0
0.4166666666666667,0.09374240785837173,0.7931353449821472,0.18000000000000002,640.0,-13.168164253234863,0.18188679218292236,0.17336760461330414,31,3200.0
0.4166666666666667,0.0937778577208519,0.7938669323921204,0.14333333333333334,660.0,-11.642749786376953,0.1820032000541687,0.17322921752929688,32,3300.0
0.4000000000000001,0.09374722838401794,0.794888973236084,0.13333333333333333,680.0,-13.039985656738281,0.1822076290845871,0.1727217584848404,33,3400.0
0.3833333333333333,0.0935664251446724,0.7954990267753601,0.19666666666666668,700.0,-15.238310813903809,0.182334303855896,0.17239993810653687,34,3500.0
0.4666666666666666,0.09339424967765808,0.796339213848114,0.14,720.0,-13.740994453430176,0.18246681988239288,0.17191164195537567,35,3600.0
0.39999999999999997,0.09328045696020126,0.797279417514801,0.12,740.0,-11.868651390075684,0.1826125979423523,0.17157959938049316,36,3700.0
0.45,0.09315415471792221,0.7980640530586243,0.14666666666666667,760.0,-13.597504615783691,0.18272526562213898,0.17103850841522217,37,3800.0
