test/success_rate,test/mean_Q,stats_g/mean,train/success_rate,epoch,stats_o/std,stats_g/std,stats_o/mean,test/episode,train/episode
0.0,-3.124410629272461,0.7421524524688721,0.0033333333333333335,0,0.06757989525794983,0.12403721362352371,0.1715843230485916,20.0,100.0
0.0,-5.22064208984375,0.7423083186149597,0.0033333333333333335,1,0.06644975394010544,0.12035933136940002,0.17171092331409454,40.0,200.0
0.0,-7.204834461212158,0.742494523525238,0.0033333333333333335,2,0.06697511672973633,0.12107137590646744,0.17099326848983765,60.0,300.0
0.0,-9.194428443908691,0.7432860732078552,0.0,3,0.06786755472421646,0.12381047010421753,0.17127704620361328,80.0,400.0
0.03333333333333333,-10.697956085205078,0.7445223331451416,0.0,4,0.07016075402498245,0.12835969030857086,0.17159323394298553,100.0,500.0
0.0,-12.646804809570312,0.7444397807121277,0.006666666666666667,5,0.0697103887796402,0.12888111174106598,0.17151804268360138,120.0,600.0
0.016666666666666666,-14.00182819366455,0.7458644509315491,0.01,6,0.07118234038352966,0.13176456093788147,0.17202436923980713,140.0,700.0
0.0,-14.413464546203613,0.7476852536201477,0.013333333333333334,7,0.07254195958375931,0.13635607063770294,0.17234788835048676,160.0,800.0
0.03333333333333333,-15.547968864440918,0.7491768002510071,0.006666666666666667,8,0.07482941448688507,0.14045049250125885,0.17280465364456177,180.0,900.0
0.03333333333333333,-16.670625686645508,0.7502067685127258,0.01,9,0.07757285237312317,0.14507590234279633,0.17295558750629425,200.0,1000.0
0.03333333333333333,-17.35069465637207,0.7510450482368469,0.013333333333333334,10,0.07980018854141235,0.1490553468465805,0.1732460856437683,220.0,1100.0
0.08333333333333333,-16.574552536010742,0.7524214386940002,0.013333333333333334,11,0.08278772979974747,0.1545535922050476,0.17362047731876373,240.0,1200.0
0.06666666666666667,-17.63376235961914,0.7552005648612976,0.03,12,0.0852438434958458,0.1600344479084015,0.17412517964839935,260.0,1300.0
0.08333333333333333,-16.512269973754883,0.756836473941803,0.04666666666666667,13,0.0885225459933281,0.16715453565120697,0.17429693043231964,280.0,1400.0
0.08333333333333333,-15.080365180969238,0.7588222026824951,0.05333333333333334,14,0.09094522148370743,0.17220626771450043,0.1744334101676941,300.0,1500.0
0.10000000000000002,-14.518132209777832,0.7617334723472595,0.07666666666666666,15,0.09236694127321243,0.17406342923641205,0.17468662559986115,320.0,1600.0
0.11666666666666665,-15.360234260559082,0.7654035091400146,0.07,16,0.09318671375513077,0.1758129596710205,0.1752464324235916,340.0,1700.0
