train/episode,train/success_rate,test/episode,stats_g/mean,stats_o/mean,stats_g/std,stats_o/std,test/success_rate,test/mean_Q,epoch
100.0,0.0033333333333333335,20.0,0.7422518134117126,0.1715642213821411,0.12195002287626266,0.06520847231149673,0.0,-3.2437493801116943,0
200.0,0.0,40.0,0.7425059676170349,0.1716247797012329,0.1158958151936531,0.06275758147239685,0.0,-5.232344150543213,1
300.0,0.0033333333333333335,60.0,0.7432706952095032,0.17095154523849487,0.11578594893217087,0.0624290369451046,0.0,-7.160397052764893,2
400.0,0.006666666666666667,80.0,0.7428001761436462,0.17052514851093292,0.1165459156036377,0.06354816257953644,0.0,-9.311636924743652,3
500.0,0.0033333333333333335,100.0,0.7425821423530579,0.17028945684432983,0.12495703250169754,0.06723210215568542,0.016666666666666666,-10.939242362976074,4
600.0,0.0,120.0,0.7429044246673584,0.17032940685749054,0.12937183678150177,0.0690872073173523,0.0,-12.481002807617188,5
700.0,0.01,140.0,0.745419979095459,0.17130537331104279,0.1357269138097763,0.07246316224336624,0.03333333333333333,-13.780021667480469,6
800.0,0.006666666666666667,160.0,0.7482085227966309,0.17204712331295013,0.14119325578212738,0.07352306693792343,0.016666666666666666,-14.08576488494873,7
900.0,0.016666666666666666,180.0,0.7502155900001526,0.17253132164478302,0.14654481410980225,0.07548567652702332,0.0,-16.004667282104492,8
1000.0,0.013333333333333334,200.0,0.7522798180580139,0.17271049320697784,0.15022742748260498,0.07833395153284073,0.0,-16.856653213500977,9
1100.0,0.023333333333333334,220.0,0.7537950873374939,0.1730707883834839,0.1528087854385376,0.08077230304479599,0.05000000000000001,-16.826553344726562,10
1200.0,0.03666666666666667,240.0,0.7556235194206238,0.17354542016983032,0.15582236647605896,0.08199096471071243,0.08333333333333333,-16.014997482299805,11
1300.0,0.05666666666666667,260.0,0.7582725882530212,0.17400430142879486,0.15784093737602234,0.08312849700450897,0.06666666666666667,-16.597158432006836,12
1400.0,0.043333333333333335,280.0,0.7610768675804138,0.17455528676509857,0.16144347190856934,0.08570007234811783,0.016666666666666666,-17.23699951171875,13
1500.0,0.043333333333333335,300.0,0.7648269534111023,0.17518560588359833,0.16508713364601135,0.08794448524713516,0.08333333333333333,-15.919395446777344,14
1600.0,0.043333333333333335,320.0,0.7679848670959473,0.17556272447109222,0.16636352241039276,0.08829202502965927,0.11666666666666668,-15.481094360351562,15
1700.0,0.08666666666666667,340.0,0.7706661224365234,0.17614813148975372,0.16793324053287506,0.08859654515981674,0.13333333333333333,-15.581583976745605,16
1800.0,0.08666666666666667,360.0,0.7731629014015198,0.17645364999771118,0.1689518541097641,0.08917751163244247,0.16666666666666666,-15.576371192932129,17
1900.0,0.08666666666666667,380.0,0.7752728462219238,0.17675626277923584,0.16955499351024628,0.08949289470911026,0.2833333333333334,-13.548259735107422,18
2000.0,0.11,400.0,0.7769122123718262,0.17706121504306793,0.17070747911930084,0.09001579135656357,0.21666666666666667,-16.31862449645996,19
2100.0,0.1366666666666667,420.0,0.7784953117370605,0.17725278437137604,0.17244605720043182,0.09074363857507706,0.21666666666666667,-15.161308288574219,20
2200.0,0.11666666666666665,440.0,0.7806801199913025,0.17761842906475067,0.17333383858203888,0.09121689945459366,0.2833333333333334,-14.238998413085938,21
2300.0,0.11333333333333333,460.0,0.7829861640930176,0.1779978722333908,0.17373158037662506,0.0914214476943016,0.26666666666666666,-14.04940128326416,22
2400.0,0.09000000000000001,480.0,0.784589946269989,0.17834991216659546,0.1735791563987732,0.0913996621966362,0.3833333333333333,-13.322333335876465,23
2500.0,0.13,500.0,0.7863150238990784,0.17861926555633545,0.17349661886692047,0.09144830703735352,0.3499999999999999,-12.48266315460205,24
2600.0,0.11666666666666668,520.0,0.7880408763885498,0.1790270060300827,0.17296476662158966,0.09151647239923477,0.15,-16.40713882446289,25
2700.0,0.1366666666666667,540.0,0.7897444367408752,0.17939023673534393,0.17261292040348053,0.09147638082504272,0.4000000000000001,-13.129658699035645,26
2800.0,0.16,560.0,0.7913201451301575,0.17966067790985107,0.17215895652770996,0.09127045422792435,0.3833333333333333,-13.74727725982666,27
2900.0,0.14666666666666664,580.0,0.7927899956703186,0.18004196882247925,0.1717318892478943,0.09104252606630325,0.3833333333333333,-12.526588439941406,28
3000.0,0.17333333333333334,600.0,0.7938492894172668,0.18041008710861206,0.17167575657367706,0.09112755209207535,0.3333333333333333,-15.365160942077637,29
3100.0,0.15333333333333335,620.0,0.7948481440544128,0.18068312108516693,0.17127607762813568,0.09107885509729385,0.3666666666666667,-14.28071117401123,30
3200.0,0.1366666666666667,640.0,0.7960458397865295,0.18099112808704376,0.1707560271024704,0.09116999059915543,0.5333333333333333,-11.442852020263672,31
3300.0,0.14,660.0,0.796928882598877,0.1812657117843628,0.17023073136806488,0.09117748588323593,0.5666666666666668,-12.07715129852295,32
3400.0,0.16333333333333333,680.0,0.7979204058647156,0.18155984580516815,0.16977165639400482,0.0912894606590271,0.36666666666666664,-14.901843070983887,33
3500.0,0.18333333333333335,700.0,0.7986745834350586,0.18174047768115997,0.16916756331920624,0.09121707826852798,0.4666666666666666,-12.370254516601562,34
3600.0,0.16666666666666666,720.0,0.799553632736206,0.18202023208141327,0.16879697144031525,0.09122636914253235,0.3666666666666667,-15.595677375793457,35
3700.0,0.18666666666666668,740.0,0.8004761338233948,0.18226587772369385,0.16865062713623047,0.0911652147769928,0.38333333333333336,-13.584528923034668,36
3800.0,0.17333333333333334,760.0,0.8012458682060242,0.1824362874031067,0.1681072860956192,0.09089110046625137,0.4000000000000001,-15.486892700195312,37
