train/success_rate,stats_o/std,stats_g/std,epoch,stats_g/mean,test/mean_Q,test/success_rate,test/episode,train/episode,stats_o/mean
0.0033333333333333335,0.06755125522613525,0.11986926943063736,0,0.7427365183830261,-3.2663848400115967,0.0,20.0,100.0,0.1697622537612915
0.0,0.06958401948213577,0.12082231789827347,1,0.7421438097953796,-5.2137131690979,0.0,40.0,200.0,0.17099960148334503
0.006666666666666667,0.07178687304258347,0.125633105635643,2,0.7417365908622742,-7.249160289764404,0.0,60.0,300.0,0.17027902603149414
0.0,0.07233422994613647,0.12828987836837769,3,0.7424165606498718,-9.367260932922363,0.0,80.0,400.0,0.17054612934589386
0.016666666666666666,0.07353965193033218,0.13105545938014984,4,0.7433829307556152,-10.948687553405762,0.016666666666666666,100.0,500.0,0.17083919048309326
0.006666666666666667,0.07393848150968552,0.13216619193553925,5,0.7427983283996582,-12.831408500671387,0.0,120.0,600.0,0.17074580490589142
0.0033333333333333335,0.07480649650096893,0.13538974523544312,6,0.7452466487884521,-13.881461143493652,0.0,140.0,700.0,0.17163987457752228
0.01,0.07616743445396423,0.14052622020244598,7,0.7466340661048889,-13.898296356201172,0.03333333333333333,160.0,800.0,0.1720881313085556
0.013333333333333334,0.07931257039308548,0.14787544310092926,8,0.748776376247406,-15.684165954589844,0.0,180.0,900.0,0.17249222099781036
0.02,0.08073516190052032,0.15178517997264862,9,0.7508821487426758,-16.200830459594727,0.016666666666666666,200.0,1000.0,0.172750785946846
0.02666666666666667,0.08347409218549728,0.15615083277225494,10,0.7532591819763184,-16.23054313659668,0.0,220.0,1100.0,0.17324654757976532
0.02666666666666667,0.0855816975235939,0.16065286099910736,11,0.755237877368927,-16.867124557495117,0.03333333333333333,240.0,1200.0,0.1735846847295761
0.03666666666666667,0.0880921259522438,0.16413909196853638,12,0.7573292851448059,-16.96987533569336,0.06666666666666667,260.0,1300.0,0.17404119670391083
0.04666666666666667,0.09107456356287003,0.16812920570373535,13,0.7592735290527344,-17.523183822631836,0.016666666666666666,280.0,1400.0,0.17460446059703827
0.03333333333333333,0.09382662922143936,0.17278476059436798,14,0.7616434693336487,-15.794670104980469,0.16666666666666666,300.0,1500.0,0.17502248287200928
0.06333333333333334,0.09598550945520401,0.17586499452590942,15,0.7649258971214294,-13.320643424987793,0.2333333333333333,320.0,1600.0,0.17585450410842896
0.08,0.0965212807059288,0.17707496881484985,16,0.7678759098052979,-12.913558006286621,0.20000000000000004,340.0,1700.0,0.1763273924589157
0.09333333333333334,0.09689263254404068,0.17798630893230438,17,0.7717700600624084,-14.675036430358887,0.16666666666666666,360.0,1800.0,0.17688794434070587
0.09000000000000001,0.09702063351869583,0.17840202152729034,18,0.7745769023895264,-12.378028869628906,0.26666666666666666,380.0,1900.0,0.17733223736286163
0.09000000000000001,0.09731274843215942,0.17897196114063263,19,0.7771243453025818,-13.854000091552734,0.3,400.0,2000.0,0.17774267494678497
0.12333333333333334,0.09769057482481003,0.1793847531080246,20,0.7799315452575684,-13.221907615661621,0.25,420.0,2100.0,0.1781878024339676
0.14,0.0983530804514885,0.17982171475887299,21,0.7823877930641174,-13.214431762695312,0.25,440.0,2200.0,0.17851950228214264
0.10333333333333333,0.09891626983880997,0.18087613582611084,22,0.7844817042350769,-13.45462417602539,0.26666666666666666,460.0,2300.0,0.1788986176252365
0.14,0.09929201751947403,0.18124057352542877,23,0.7856435179710388,-12.914750099182129,0.31666666666666665,480.0,2400.0,0.17908574640750885
0.15,0.09964869171380997,0.1814413070678711,24,0.7876205444335938,-11.345459938049316,0.25,500.0,2500.0,0.17951039969921112
0.14333333333333334,0.10011014342308044,0.18161100149154663,25,0.7890546917915344,-13.606019020080566,0.2333333333333333,520.0,2600.0,0.17979566752910614
0.13333333333333333,0.10030876845121384,0.18142765760421753,26,0.7906677722930908,-11.996459007263184,0.3,540.0,2700.0,0.1800864189863205
0.11666666666666665,0.10050616413354874,0.18142156302928925,27,0.7920901775360107,-14.186511039733887,0.15,560.0,2800.0,0.18046022951602936
0.13,0.10073598474264145,0.18147452175617218,28,0.79319828748703,-15.12855052947998,0.18333333333333335,580.0,2900.0,0.18078690767288208
0.13333333333333333,0.10121379047632217,0.18175601959228516,29,0.7944052815437317,-13.001663208007812,0.3499999999999999,600.0,3000.0,0.18118293583393097
0.13333333333333333,0.10158125311136246,0.1818246841430664,30,0.7954626083374023,-12.097277641296387,0.3833333333333333,620.0,3100.0,0.18149380385875702
0.14666666666666667,0.10229695588350296,0.18211866915225983,31,0.7963240146636963,-13.499526977539062,0.3333333333333333,640.0,3200.0,0.18168257176876068
0.13333333333333333,0.10256615281105042,0.18244600296020508,32,0.7966594099998474,-11.164286613464355,0.3666666666666667,660.0,3300.0,0.18180972337722778
0.14333333333333334,0.10310611128807068,0.18274499475955963,33,0.7971837520599365,-12.8933687210083,0.3333333333333333,680.0,3400.0,0.18195773661136627
0.15000000000000002,0.10362506657838821,0.18282562494277954,34,0.797382116317749,-12.937732696533203,0.3666666666666667,700.0,3500.0,0.18202336132526398
0.11,0.10433434695005417,0.18327437341213226,35,0.7975764274597168,-13.088923454284668,0.26666666666666666,720.0,3600.0,0.18212999403476715
0.11666666666666665,0.10505139082670212,0.18383920192718506,36,0.7977867126464844,-13.342361450195312,0.3333333333333333,740.0,3700.0,0.1822299212217331
0.14,0.10574602335691452,0.18455441296100616,37,0.7981510162353516,-13.09035873413086,0.3,760.0,3800.0,0.18228556215763092
