epoch,test/episode,train/success_rate,train/episode,stats_g/mean,test/mean_Q,stats_g/std,test/success_rate,stats_o/std,stats_o/mean
0,20.0,0.0033333333333333335,100.0,0.7422316670417786,-3.2929489612579346,0.1182316318154335,0.0,0.0675351545214653,0.170900359749794
1,40.0,0.0,200.0,0.7436385154724121,-5.18720817565918,0.11610748618841171,0.0,0.06584573537111282,0.17156656086444855
2,60.0,0.0033333333333333335,300.0,0.744135320186615,-7.1183037757873535,0.11589321494102478,0.0,0.06503769010305405,0.1713111251592636
3,80.0,0.0,400.0,0.744750440120697,-9.483238220214844,0.1224684938788414,0.0,0.06847158819437027,0.1714240461587906
4,100.0,0.0,500.0,0.745764434337616,-10.941569328308105,0.12468307465314865,0.016666666666666666,0.06965334713459015,0.17178134620189667
5,120.0,0.006666666666666667,600.0,0.7451946139335632,-12.5559663772583,0.12725532054901123,0.0,0.07074632495641708,0.17169640958309174
6,140.0,0.0033333333333333335,700.0,0.7474773526191711,-13.942217826843262,0.13252025842666626,0.016666666666666666,0.07225228101015091,0.1723129004240036
7,160.0,0.006666666666666667,800.0,0.7488276958465576,-14.162800788879395,0.13542746007442474,0.03333333333333333,0.07355854660272598,0.17245137691497803
8,180.0,0.013333333333333334,900.0,0.750339925289154,-16.583389282226562,0.13789598643779755,0.0,0.07475363463163376,0.17282062768936157
9,200.0,0.013333333333333334,1000.0,0.7517902255058289,-17.06665802001953,0.14178235828876495,0.05000000000000001,0.07613164931535721,0.17291246354579926
10,220.0,0.016666666666666666,1100.0,0.7528800368309021,-17.49463653564453,0.14579199254512787,0.03333333333333333,0.0790742039680481,0.17306776344776154
11,240.0,0.023333333333333334,1200.0,0.7551918029785156,-17.87733268737793,0.14998126029968262,0.05000000000000001,0.08137376606464386,0.1735108345746994
12,260.0,0.02666666666666667,1300.0,0.7583665251731873,-16.751482009887695,0.15677334368228912,0.10000000000000002,0.08518756181001663,0.17405253648757935
13,280.0,0.04666666666666667,1400.0,0.7605717182159424,-17.70157241821289,0.1630154401063919,0.08333333333333333,0.08810853213071823,0.17455919086933136
14,300.0,0.06,1500.0,0.7632518410682678,-14.634456634521484,0.16843527555465698,0.16666666666666666,0.09065046906471252,0.17477770149707794
15,320.0,0.07,1600.0,0.7659499645233154,-14.290966033935547,0.17277021706104279,0.15,0.09281626343727112,0.17526380717754364
16,340.0,0.08333333333333333,1700.0,0.7682335376739502,-13.787631034851074,0.17599749565124512,0.11666666666666665,0.09501925110816956,0.17577959597110748
17,360.0,0.08,1800.0,0.7712908387184143,-14.985547065734863,0.1784074902534485,0.16666666666666666,0.0964888408780098,0.17617051303386688
18,380.0,0.09666666666666668,1900.0,0.7740497589111328,-13.284672737121582,0.17916138470172882,0.2333333333333333,0.09654223173856735,0.17655454576015472
19,400.0,0.09000000000000001,2000.0,0.7760809063911438,-13.470661163330078,0.1789340376853943,0.3333333333333333,0.09624559432268143,0.17702026665210724
20,420.0,0.12,2100.0,0.7784087061882019,-12.86375904083252,0.17876829206943512,0.3833333333333333,0.0961117073893547,0.1774958372116089
21,440.0,0.12666666666666668,2200.0,0.7805790305137634,-13.435498237609863,0.17825408279895782,0.26666666666666666,0.09605637192726135,0.17793042957782745
22,460.0,0.13,2300.0,0.7829648852348328,-12.658321380615234,0.17891108989715576,0.3666666666666667,0.09589013457298279,0.17842300236225128
23,480.0,0.13333333333333333,2400.0,0.7847084999084473,-14.3071870803833,0.17926239967346191,0.2833333333333333,0.09595513343811035,0.1788543462753296
24,500.0,0.17333333333333334,2500.0,0.7868312001228333,-14.1267728805542,0.1789402812719345,0.19999999999999998,0.0957726314663887,0.17934612929821014
25,520.0,0.11333333333333333,2600.0,0.7885486483573914,-12.49085521697998,0.17850680649280548,0.3833333333333333,0.09545335173606873,0.1798231452703476
26,540.0,0.13333333333333333,2700.0,0.7900807857513428,-16.124467849731445,0.1782773733139038,0.21666666666666665,0.09535592794418335,0.18019020557403564
27,560.0,0.14333333333333334,2800.0,0.791576623916626,-14.87527847290039,0.17817926406860352,0.35000000000000003,0.09544554352760315,0.18052659928798676
28,580.0,0.17,2900.0,0.7929762005805969,-14.053199768066406,0.17767733335494995,0.3666666666666667,0.09506845474243164,0.18085765838623047
29,600.0,0.12333333333333334,3000.0,0.7944371104240417,-15.40000057220459,0.17721021175384521,0.35000000000000003,0.09484312683343887,0.18125200271606445
30,620.0,0.12666666666666668,3100.0,0.7954381108283997,-11.803629875183105,0.17687638103961945,0.5,0.09483494609594345,0.18156220018863678
31,640.0,0.12666666666666668,3200.0,0.7963982224464417,-14.854484558105469,0.176606222987175,0.26666666666666666,0.09474249929189682,0.18176071345806122
32,660.0,0.13,3300.0,0.7972683310508728,-11.456027030944824,0.17614145576953888,0.5833333333333333,0.09441117197275162,0.18197490274906158
33,680.0,0.14666666666666664,3400.0,0.7982687950134277,-15.125785827636719,0.1761137992143631,0.4000000000000001,0.09454560279846191,0.1822628527879715
34,700.0,0.14333333333333334,3500.0,0.7989832758903503,-15.647759437561035,0.17581474781036377,0.3499999999999999,0.09426822513341904,0.18243014812469482
35,720.0,0.14,3600.0,0.799920380115509,-16.80356788635254,0.17528438568115234,0.3666666666666667,0.09403539448976517,0.1826096773147583
36,740.0,0.13,3700.0,0.8010006546974182,-16.94371223449707,0.17508703470230103,0.3,0.09402891248464584,0.18280507624149323
37,760.0,0.15000000000000002,3800.0,0.8016112446784973,-13.62419605255127,0.17463642358779907,0.45,0.09386614710092545,0.18289071321487427
38,780.0,0.18000000000000002,3900.0,0.8023369908332825,-12.3507080078125,0.1745106428861618,0.5,0.09398504346609116,0.18303270637989044
39,800.0,0.17,4000.0,0.8029863238334656,-13.739733695983887,0.17444223165512085,0.5166666666666667,0.09405537694692612,0.18318559229373932
40,820.0,0.19333333333333333,4100.0,0.8036749362945557,-12.291447639465332,0.1745743304491043,0.48333333333333334,0.09419932216405869,0.18331296741962433
41,840.0,0.16,4200.0,0.803927481174469,-15.8216552734375,0.17498590052127838,0.3333333333333333,0.09504524618387222,0.18336541950702667
42,860.0,0.12,4300.0,0.8042325377464294,-14.018638610839844,0.17596562206745148,0.35000000000000003,0.09600343555212021,0.1833871603012085
43,880.0,0.16,4400.0,0.8044214844703674,-12.786604881286621,0.17599636316299438,0.4666666666666666,0.0964028462767601,0.18335707485675812
44,900.0,0.1466666666666667,4500.0,0.804846465587616,-15.765568733215332,0.17618818581104279,0.3333333333333333,0.09691401571035385,0.18343603610992432
45,920.0,0.15,4600.0,0.8049256801605225,-14.921305656433105,0.17638200521469116,0.35000000000000003,0.09733832627534866,0.18347351253032684
46,940.0,0.11666666666666665,4700.0,0.8047754168510437,-14.021224975585938,0.17633305490016937,0.3666666666666667,0.09751281142234802,0.18353812396526337
47,960.0,0.10000000000000002,4800.0,0.8043778538703918,-13.560473442077637,0.1765451431274414,0.3333333333333333,0.09780365973711014,0.18357522785663605
48,980.0,0.08333333333333333,4900.0,0.8039655685424805,-14.821080207824707,0.17659814655780792,0.23333333333333336,0.09795738011598587,0.18354326486587524
49,1000.0,0.09333333333333334,5000.0,0.8034043312072754,-15.2227783203125,0.17660731077194214,0.3333333333333333,0.0978599265217781,0.18346697092056274
