test/mean_Q,test/success_rate,epoch,train/episode,stats_g/std,test/episode,train/success_rate,stats_g/mean,stats_o/std,stats_o/mean
-2.9718377590179443,0.0,0,100.0,0.09186878800392151,20.0,0.02666666666666667,0.8427154421806335,0.05584621801972389,0.20344574749469757
-4.629140377044678,0.05000000000000001,1,200.0,0.09292354434728622,40.0,0.03333333333333333,0.8455614447593689,0.056136101484298706,0.20411258935928345
-6.397627353668213,0.05000000000000001,2,300.0,0.09327127784490585,60.0,0.03,0.8461174368858337,0.05424048379063606,0.20416422188282013
-8.247174263000488,0.05000000000000001,3,400.0,0.09391940385103226,80.0,0.05000000000000001,0.846355676651001,0.053112391382455826,0.20415593683719635
-10.2952241897583,0.03333333333333333,4,500.0,0.09303238242864609,100.0,0.043333333333333335,0.8462343215942383,0.0525641031563282,0.20421306788921356
-12.318733215332031,0.0,5,600.0,0.09348168224096298,120.0,0.043333333333333335,0.8459269404411316,0.05440297722816467,0.20412640273571014
-13.304133415222168,0.016666666666666666,6,700.0,0.09401410073041916,140.0,0.02666666666666667,0.8463590741157532,0.055744465440511703,0.20426590740680695
-14.608649253845215,0.06666666666666667,7,800.0,0.09485898166894913,160.0,0.03666666666666667,0.8463581204414368,0.05818385258316994,0.2043488472700119
-15.684814453125,0.06666666666666667,8,900.0,0.09483257681131363,180.0,0.049999999999999996,0.8460254669189453,0.059780627489089966,0.2043997049331665
-15.405723571777344,0.08333333333333333,9,1000.0,0.09522545337677002,200.0,0.056666666666666664,0.8457698225975037,0.06033908203244209,0.20427358150482178
-17.97507095336914,0.05000000000000001,10,1100.0,0.095406673848629,220.0,0.06666666666666667,0.8458369374275208,0.06179051473736763,0.20432226359844208
-19.260751724243164,0.016666666666666666,11,1200.0,0.09685170650482178,240.0,0.056666666666666664,0.8454567790031433,0.06393450498580933,0.20424838364124298
-18.87641716003418,0.06666666666666667,12,1300.0,0.09721338003873825,260.0,0.07333333333333333,0.8454667925834656,0.06627926975488663,0.20427469909191132
-18.492122650146484,0.10000000000000002,13,1400.0,0.09894398599863052,280.0,0.06333333333333334,0.8452796936035156,0.06967900693416595,0.2044019103050232
-18.41297721862793,0.13333333333333333,14,1500.0,0.09934774041175842,300.0,0.11666666666666665,0.8451986312866211,0.07274264097213745,0.20432503521442413
-18.245100021362305,0.11666666666666665,15,1600.0,0.10041563957929611,320.0,0.11666666666666668,0.8448750376701355,0.07574640959501266,0.20419740676879883
-17.731569290161133,0.13333333333333333,16,1700.0,0.10054805129766464,340.0,0.11666666666666665,0.8449292182922363,0.07792119681835175,0.20419467985630035
-18.054346084594727,0.15,17,1800.0,0.10081931948661804,360.0,0.13333333333333333,0.8447350859642029,0.08037695288658142,0.20412485301494598
-18.637189865112305,0.08333333333333333,18,1900.0,0.10094455629587173,380.0,0.13,0.8444303870201111,0.08198455721139908,0.20390529930591583
-17.983047485351562,0.2333333333333333,19,2000.0,0.10089298337697983,400.0,0.16666666666666666,0.8445682525634766,0.08342525362968445,0.2040386199951172
-17.01849937438965,0.3,20,2100.0,0.1010427251458168,420.0,0.16666666666666666,0.8443635106086731,0.08549100905656815,0.20383918285369873
-18.31727409362793,0.25,21,2200.0,0.10107940435409546,440.0,0.1366666666666667,0.844517707824707,0.08732052892446518,0.2038527876138687
-15.275932312011719,0.35000000000000003,22,2300.0,0.10154637694358826,460.0,0.20000000000000004,0.8443856239318848,0.08911677449941635,0.2038760930299759
-18.03321647644043,0.3499999999999999,23,2400.0,0.1019555851817131,480.0,0.19333333333333336,0.8442570567131042,0.09134890884160995,0.2037784457206726
-15.264739990234375,0.39999999999999997,24,2500.0,0.10252783447504044,500.0,0.21999999999999997,0.8441054821014404,0.09340525418519974,0.20363758504390717
-16.763694763183594,0.3833333333333333,25,2600.0,0.10259529948234558,520.0,0.26333333333333336,0.844150960445404,0.09452428668737411,0.20367306470870972
-19.523935317993164,0.3833333333333333,26,2700.0,0.10269571095705032,540.0,0.2966666666666667,0.8443259596824646,0.09545475989580154,0.20367492735385895
-18.49725914001465,0.31666666666666665,27,2800.0,0.1027350053191185,560.0,0.2733333333333334,0.8442474007606506,0.09669961780309677,0.20370729267597198
-14.798038482666016,0.43333333333333335,28,2900.0,0.10264834016561508,580.0,0.2833333333333334,0.8443836569786072,0.09749585390090942,0.20376811921596527
-11.893649101257324,0.5833333333333334,29,3000.0,0.1026909127831459,600.0,0.22666666666666668,0.8444950580596924,0.09865497797727585,0.20381326973438263
-19.73967933654785,0.3666666666666667,30,3100.0,0.1029515191912651,620.0,0.32,0.8445079326629639,0.09978058934211731,0.2039237767457962
-19.088193893432617,0.4000000000000001,31,3200.0,0.10293829441070557,640.0,0.4033333333333333,0.8446130156517029,0.10035892575979233,0.20390532910823822
-17.011608123779297,0.3833333333333333,32,3300.0,0.10334023833274841,660.0,0.35000000000000003,0.8444169163703918,0.1011442244052887,0.20382577180862427
-17.39324951171875,0.4833333333333334,33,3400.0,0.10340412706136703,680.0,0.35333333333333333,0.8444287180900574,0.10200142115354538,0.20378585159778595
-14.607528686523438,0.5333333333333333,34,3500.0,0.1033257469534874,700.0,0.36000000000000004,0.8445138931274414,0.10255446285009384,0.20380686223506927
-17.671064376831055,0.4833333333333334,35,3600.0,0.10329083353281021,720.0,0.41,0.844719409942627,0.10314250737428665,0.20390385389328003
-17.374839782714844,0.5166666666666667,36,3700.0,0.10318516939878464,740.0,0.41999999999999993,0.8447324633598328,0.10364391654729843,0.20395229756832123
-15.7120361328125,0.55,37,3800.0,0.10322898626327515,760.0,0.38999999999999996,0.8447669148445129,0.10435577481985092,0.20399720966815948
-18.038209915161133,0.48333333333333334,38,3900.0,0.1032688245177269,780.0,0.45,0.8447406888008118,0.10464514046907425,0.20395253598690033
-14.562335014343262,0.6499999999999999,39,4000.0,0.10317450761795044,800.0,0.42333333333333334,0.8447249531745911,0.10502072423696518,0.20393769443035126
-15.872466087341309,0.55,40,4100.0,0.10333767533302307,820.0,0.4366666666666667,0.844717800617218,0.10556624084711075,0.20405130088329315
-14.62305736541748,0.6000000000000001,41,4200.0,0.10336218029260635,840.0,0.47333333333333333,0.8446444869041443,0.10608365386724472,0.20412015914916992
-15.404561042785645,0.5833333333333334,42,4300.0,0.10328833013772964,860.0,0.43333333333333335,0.8447265028953552,0.10650015622377396,0.20408815145492554
-12.475113868713379,0.6666666666666666,43,4400.0,0.10345254093408585,880.0,0.43333333333333335,0.8447486758232117,0.10693243891000748,0.20412416756153107
-18.86775016784668,0.5333333333333333,44,4500.0,0.10337420552968979,900.0,0.4666666666666666,0.8446717262268066,0.1075395718216896,0.2040972113609314
-14.386092185974121,0.6333333333333333,45,4600.0,0.10326012969017029,920.0,0.49666666666666665,0.8447906970977783,0.10787847638130188,0.20410026609897614
-13.888115882873535,0.6333333333333333,46,4700.0,0.10311710089445114,940.0,0.5066666666666667,0.8447669148445129,0.10806241631507874,0.20410273969173431
-17.77031707763672,0.55,47,4800.0,0.10300633311271667,960.0,0.5266666666666666,0.8447737097740173,0.10849162936210632,0.20410893857479095
-11.600064277648926,0.65,48,4900.0,0.10294949263334274,980.0,0.5166666666666667,0.8447601795196533,0.10869249701499939,0.20416684448719025
-15.380997657775879,0.5499999999999999,49,5000.0,0.10291075706481934,1000.0,0.47333333333333333,0.84478360414505,0.1088484451174736,0.20411483943462372
