stats_o/std,epoch,train/episode,stats_o/mean,stats_g/mean,stats_g/std,test/success_rate,test/mean_Q,test/episode,train/success_rate
0.06708411872386932,0,100.0,0.1701795607805252,0.7431110739707947,0.12040111422538757,0.0,-3.2816498279571533,20.0,0.0033333333333333335
0.0651223286986351,1,200.0,0.1709359884262085,0.742636501789093,0.11620419472455978,0.0,-5.288835048675537,40.0,0.0
0.06559091061353683,2,300.0,0.17087052762508392,0.7437694668769836,0.11660945415496826,0.016666666666666666,-7.1322760581970215,60.0,0.0033333333333333335
0.06632734090089798,3,400.0,0.17091159522533417,0.7445815205574036,0.11811372637748718,0.0,-9.20015811920166,80.0,0.0
0.06765573471784592,4,500.0,0.17114388942718506,0.7452172636985779,0.12433912605047226,0.016666666666666666,-10.88105297088623,100.0,0.0
0.06929271668195724,5,600.0,0.1714593917131424,0.7456398606300354,0.1277429163455963,0.0,-12.864204406738281,120.0,0.0
0.07277656346559525,6,700.0,0.1720948964357376,0.7467054724693298,0.13247063755989075,0.0,-14.035624504089355,140.0,0.006666666666666667
0.07508383691310883,7,800.0,0.17200811207294464,0.7468383312225342,0.1385997086763382,0.03333333333333333,-13.417091369628906,160.0,0.006666666666666667
0.07796882838010788,8,900.0,0.17244881391525269,0.7490763068199158,0.14416423439979553,0.03333333333333333,-16.138029098510742,180.0,0.01
0.07956744730472565,9,1000.0,0.17259813845157623,0.7507448196411133,0.1481112241744995,0.08333333333333333,-15.964964866638184,200.0,0.03333333333333333
0.08150019496679306,10,1100.0,0.17306578159332275,0.7520979046821594,0.15172436833381653,0.0,-17.959312438964844,220.0,0.02666666666666667
0.08324545621871948,11,1200.0,0.17333656549453735,0.7531893849372864,0.15438136458396912,0.08333333333333333,-17.87203025817871,240.0,0.03
0.08551802486181259,12,1300.0,0.17367227375507355,0.7549042701721191,0.15730777382850647,0.03333333333333333,-18.477935791015625,260.0,0.03666666666666667
0.08814230561256409,13,1400.0,0.1740952879190445,0.7563274502754211,0.16251392662525177,0.11666666666666665,-16.35569953918457,280.0,0.023333333333333334
0.09038174897432327,14,1500.0,0.17458124458789825,0.7581636309623718,0.16643278300762177,0.11666666666666668,-16.886268615722656,300.0,0.05666666666666667
0.09253039956092834,15,1600.0,0.17506104707717896,0.7603446841239929,0.16974283754825592,0.08333333333333333,-16.417482376098633,320.0,0.06
0.09338553994894028,16,1700.0,0.17559726536273956,0.7623176574707031,0.17193269729614258,0.06666666666666667,-15.343791007995605,340.0,0.060000000000000005
0.09348225593566895,17,1800.0,0.1760975569486618,0.7652187347412109,0.17252254486083984,0.13333333333333333,-16.349605560302734,360.0,0.05333333333333334
0.09354863315820694,18,1900.0,0.17649652063846588,0.7675621509552002,0.17309792339801788,0.13333333333333333,-15.225780487060547,380.0,0.08333333333333333
0.09408217668533325,19,2000.0,0.1769150048494339,0.7695013880729675,0.17373283207416534,0.21666666666666667,-16.165319442749023,400.0,0.11333333333333333
0.09495074301958084,20,2100.0,0.17725801467895508,0.771433413028717,0.17556528747081757,0.3333333333333333,-14.895060539245605,420.0,0.10333333333333333
0.09521157294511795,21,2200.0,0.17735765874385834,0.7733304500579834,0.17625655233860016,0.25,-15.552188873291016,440.0,0.13333333333333333
0.09531424194574356,22,2300.0,0.17748314142227173,0.7753961682319641,0.17644667625427246,0.25,-14.18871021270752,460.0,0.11666666666666668
0.09526572376489639,23,2400.0,0.17774170637130737,0.7773613929748535,0.1766100376844406,0.18333333333333335,-14.84632396697998,480.0,0.12333333333333334
0.09511807560920715,24,2500.0,0.1779448240995407,0.7793429493904114,0.1764732152223587,0.3,-13.440422058105469,500.0,0.11
0.09506359696388245,25,2600.0,0.17808444797992706,0.7808024883270264,0.17623037099838257,0.31666666666666665,-16.06908416748047,520.0,0.12333333333333334
0.09482196718454361,26,2700.0,0.17824916541576385,0.7823513150215149,0.175937220454216,0.16666666666666666,-16.544301986694336,540.0,0.15333333333333335
0.09483114629983902,27,2800.0,0.1783551722764969,0.7834455966949463,0.1757773756980896,0.31666666666666665,-15.260991096496582,560.0,0.09666666666666668
0.0948195829987526,28,2900.0,0.17864005267620087,0.7848129272460938,0.17576037347316742,0.5166666666666667,-12.884787559509277,580.0,0.11666666666666668
0.09480323642492294,29,3000.0,0.17889787256717682,0.7862367033958435,0.17559008300304413,0.25,-15.983813285827637,600.0,0.14333333333333334
0.09485384076833725,30,3100.0,0.17917115986347198,0.7874252200126648,0.17551153898239136,0.38333333333333336,-14.82730484008789,620.0,0.12333333333333334
0.09518622606992722,31,3200.0,0.17944125831127167,0.788597047328949,0.17543236911296844,0.43333333333333335,-12.523284912109375,640.0,0.11333333333333334
0.09515201300382614,32,3300.0,0.17975962162017822,0.7894694209098816,0.17533642053604126,0.25,-14.106244087219238,660.0,0.14333333333333334
0.09494137763977051,33,3400.0,0.18008874356746674,0.7907108664512634,0.1747792512178421,0.4000000000000001,-14.396575927734375,680.0,0.17666666666666667
0.09517241269350052,34,3500.0,0.18038278818130493,0.7916631698608398,0.1745685189962387,0.45,-13.457618713378906,700.0,0.18000000000000002
0.09519604593515396,35,3600.0,0.1806565672159195,0.7926321625709534,0.17458637058734894,0.3666666666666667,-14.538941383361816,720.0,0.1366666666666667
0.0954417809844017,36,3700.0,0.1809481829404831,0.7936165928840637,0.17469437420368195,0.4666666666666666,-14.112597465515137,740.0,0.13333333333333333
0.09597605466842651,37,3800.0,0.18120162189006805,0.7943865656852722,0.17501311004161835,0.3,-17.01917266845703,760.0,0.12000000000000001
