test/episode,stats_g/mean,train/episode,train/success_rate,stats_o/std,test/success_rate,epoch,test/mean_Q,stats_o/mean,stats_g/std
20.0,0.8428780436515808,100.0,0.02,0.0515049546957016,0.0,0,-2.9549014568328857,0.20292963087558746,0.09285557270050049
40.0,0.8455315232276917,200.0,0.04,0.05627262964844704,0.05000000000000001,1,-4.550240993499756,0.20374220609664917,0.09424526244401932
60.0,0.8461666703224182,300.0,0.03333333333333333,0.054369281977415085,0.03333333333333333,2,-6.5502753257751465,0.2042192816734314,0.09415924549102783
80.0,0.8464304804801941,400.0,0.036666666666666674,0.05514955520629883,0.016666666666666666,3,-8.28728199005127,0.20408064126968384,0.09487853199243546
100.0,0.8463844656944275,500.0,0.03333333333333333,0.05526251718401909,0.016666666666666666,4,-10.18879222869873,0.20406074821949005,0.0947643592953682
120.0,0.8462893962860107,600.0,0.05666666666666667,0.057094454765319824,0.0,5,-12.081177711486816,0.20409126579761505,0.09562309831380844
140.0,0.8466317653656006,700.0,0.03666666666666667,0.05946505069732666,0.06666666666666667,6,-12.536537170410156,0.20408302545547485,0.09693276882171631
160.0,0.8467534184455872,800.0,0.06,0.06292693316936493,0.08333333333333333,7,-13.576800346374512,0.2042737752199173,0.09692368656396866
180.0,0.8463550209999084,900.0,0.05333333333333334,0.06527099013328552,0.11666666666666665,8,-14.23476505279541,0.2041383534669876,0.09691572189331055
200.0,0.8462133407592773,1000.0,0.07,0.06659100949764252,0.15,9,-14.317115783691406,0.20417682826519012,0.09753715991973877
220.0,0.8463653922080994,1100.0,0.09000000000000001,0.06814002245664597,0.09999999999999999,10,-16.47412109375,0.20419926941394806,0.09780586510896683
240.0,0.8466830253601074,1200.0,0.06999999999999999,0.07072912156581879,0.11666666666666665,11,-16.69196128845215,0.2044183611869812,0.09811363369226456
260.0,0.8467037081718445,1300.0,0.08333333333333333,0.07381279766559601,0.06666666666666667,12,-17.856948852539062,0.20432905852794647,0.0989573672413826
280.0,0.8467231392860413,1400.0,0.09000000000000001,0.07638119161128998,0.10000000000000002,13,-16.088468551635742,0.20414678752422333,0.10021140426397324
300.0,0.8469290137290955,1500.0,0.14333333333333334,0.07917428761720657,0.21666666666666667,14,-16.341081619262695,0.20420999825000763,0.10066132992506027
320.0,0.846899688243866,1600.0,0.15333333333333332,0.08157970756292343,0.18333333333333335,15,-17.044715881347656,0.20417410135269165,0.10087703913450241
340.0,0.847209632396698,1700.0,0.18000000000000002,0.08373334258794785,0.25,16,-15.456719398498535,0.20425958931446075,0.10113310068845749
360.0,0.8469199538230896,1800.0,0.19999999999999998,0.0866398736834526,0.21666666666666667,17,-15.872483253479004,0.20428018271923065,0.1017078384757042
380.0,0.8466379642486572,1900.0,0.16333333333333333,0.08887365460395813,0.3333333333333333,18,-15.597147941589355,0.20417143404483795,0.10206717252731323
400.0,0.8466485142707825,2000.0,0.20000000000000004,0.09090117365121841,0.28333333333333327,19,-16.652963638305664,0.20417191088199615,0.10192883014678955
420.0,0.8463557362556458,2100.0,0.21666666666666667,0.09326658397912979,0.3,20,-15.472007751464844,0.2041495442390442,0.1026969775557518
440.0,0.8463611602783203,2200.0,0.28,0.09510316699743271,0.3333333333333333,21,-15.288994789123535,0.20396192371845245,0.1035643219947815
460.0,0.8461981415748596,2300.0,0.27,0.09740706533193588,0.5166666666666667,22,-11.984232902526855,0.20384842157363892,0.10444369912147522
480.0,0.8458457589149475,2400.0,0.26333333333333336,0.10002041608095169,0.4166666666666667,23,-14.31787395477295,0.20382612943649292,0.10595843940973282
500.0,0.8455594182014465,2500.0,0.32,0.1016172468662262,0.5166666666666666,24,-12.171852111816406,0.2037981003522873,0.10654134303331375
520.0,0.8453823924064636,2600.0,0.3433333333333333,0.10339659452438354,0.5,25,-12.522488594055176,0.20375625789165497,0.10716313123703003
540.0,0.8455584049224854,2700.0,0.3633333333333333,0.10457288473844528,0.4000000000000001,26,-15.544543266296387,0.20378856360912323,0.10706333070993423
560.0,0.8456433415412903,2800.0,0.4266666666666666,0.10565205663442612,0.43333333333333335,27,-14.488677978515625,0.2038540095090866,0.10692030936479568
580.0,0.8457736372947693,2900.0,0.38000000000000006,0.10661345720291138,0.65,28,-10.907986640930176,0.2039729505777359,0.10701673477888107
600.0,0.8459265828132629,3000.0,0.42,0.10727306455373764,0.7333333333333334,29,-8.351719856262207,0.2040550261735916,0.10702518373727798
620.0,0.8460564613342285,3100.0,0.4166666666666667,0.10814265161752701,0.43333333333333335,30,-16.371397018432617,0.2042064666748047,0.10728851705789566
640.0,0.8462042808532715,3200.0,0.43,0.10879608243703842,0.4666666666666666,31,-13.532635688781738,0.20414821803569794,0.1072884202003479
660.0,0.8462676405906677,3300.0,0.43333333333333335,0.10927533358335495,0.5,32,-10.234667778015137,0.20427577197551727,0.10742054134607315
680.0,0.8464334607124329,3400.0,0.4566666666666666,0.10970422625541687,0.6,33,-11.732773780822754,0.20433567464351654,0.10726169496774673
700.0,0.8466858267784119,3500.0,0.5,0.11002468317747116,0.8833333333333333,34,-6.508612155914307,0.20447342097759247,0.10725153237581253
720.0,0.8469758629798889,3600.0,0.4666666666666666,0.1104494258761406,0.7333333333333334,35,-10.79751968383789,0.20449931919574738,0.1076432466506958
740.0,0.8471588492393494,3700.0,0.52,0.11084526777267456,0.8166666666666668,36,-8.895136833190918,0.20451335608959198,0.10752745717763901
760.0,0.8473751544952393,3800.0,0.54,0.1113605722784996,0.7666666666666666,37,-8.13998794555664,0.20454998314380646,0.10763681679964066
780.0,0.8475896716117859,3900.0,0.54,0.11164841055870056,0.7166666666666667,38,-8.53110408782959,0.20458479225635529,0.10758674144744873
800.0,0.8476727604866028,4000.0,0.49666666666666665,0.1118740439414978,0.7833333333333333,39,-8.24013900756836,0.2045939564704895,0.10750958323478699
820.0,0.8478929400444031,4100.0,0.52,0.11227432638406754,0.8666666666666667,40,-4.85137939453125,0.20456035435199738,0.1077578142285347
840.0,0.8480550646781921,4200.0,0.5566666666666666,0.11236441880464554,0.8666666666666667,41,-5.184520244598389,0.20453274250030518,0.10780444741249084
860.0,0.8483105301856995,4300.0,0.49333333333333335,0.11259303241968155,0.8500000000000001,42,-5.570169925689697,0.2045305222272873,0.10788094252347946
880.0,0.8485519289970398,4400.0,0.49333333333333335,0.11286884546279907,0.9333333333333332,43,-3.8554985523223877,0.20453011989593506,0.10807173699140549
900.0,0.8486540913581848,4500.0,0.5299999999999999,0.11312896013259888,0.75,44,-6.0138397216796875,0.20447111129760742,0.10825013369321823
920.0,0.8489345908164978,4600.0,0.54,0.1131497323513031,0.8333333333333334,45,-4.355265140533447,0.2044783979654312,0.1084257960319519
940.0,0.8491367697715759,4700.0,0.55,0.11310285329818726,0.8166666666666668,46,-4.1671857833862305,0.20455686748027802,0.10836990922689438
960.0,0.84920334815979,4800.0,0.5766666666666668,0.11330944299697876,0.7000000000000001,47,-5.579111576080322,0.20452137291431427,0.10824223607778549
980.0,0.849247395992279,4900.0,0.6033333333333334,0.1135464608669281,0.7999999999999999,48,-3.0825090408325195,0.20447391271591187,0.1081608235836029
1000.0,0.8492574691772461,5000.0,0.5533333333333333,0.11373309046030045,0.7666666666666666,49,-3.3615245819091797,0.20445911586284637,0.10809987038373947
