stats_o/std,test/mean_Q,train/episode,stats_g/mean,stats_g/std,test/success_rate,train/success_rate,stats_o/mean,epoch,test/episode
0.038279782980680466,-2.444617748260498,100.0,0.8391689658164978,0.06955187767744064,0.09999999999999999,0.043333333333333335,0.2014128714799881,0,20.0
0.042681142687797546,-4.824150562286377,200.0,0.8394153118133545,0.07002239674329758,0.016666666666666666,0.07666666666666667,0.20158928632736206,1,40.0
0.04376867413520813,-6.371449947357178,300.0,0.8389077186584473,0.06980279833078384,0.03333333333333333,0.06333333333333334,0.20137424767017365,2,60.0
0.043187037110328674,-8.436116218566895,400.0,0.8396351337432861,0.06993026286363602,0.05000000000000001,0.06999999999999999,0.20161455869674683,3,80.0
0.04450206831097603,-10.438621520996094,500.0,0.8397228121757507,0.06991662830114365,0.016666666666666666,0.07666666666666666,0.20164375007152557,4,100.0
0.04436783120036125,-11.932110786437988,600.0,0.8396124243736267,0.06995023041963577,0.03333333333333333,0.05000000000000001,0.20155654847621918,5,120.0
0.04514807090163231,-12.343962669372559,700.0,0.8392030596733093,0.0699712336063385,0.11666666666666668,0.06333333333333334,0.20152167975902557,6,140.0
0.045847684144973755,-13.466053009033203,800.0,0.8391116261482239,0.06998451799154282,0.11666666666666665,0.09333333333333334,0.20149368047714233,7,160.0
0.046471286565065384,-16.01898193359375,900.0,0.8391371369361877,0.07013219594955444,0.05000000000000001,0.06333333333333332,0.20148847997188568,8,180.0
0.04624883458018303,-16.699378967285156,1000.0,0.8391231894493103,0.07015688717365265,0.10000000000000002,0.09666666666666668,0.20147275924682617,9,200.0
0.04583544656634331,-16.97459602355957,1100.0,0.8387150764465332,0.07017266750335693,0.11666666666666665,0.08333333333333333,0.2013571709394455,10,220.0
0.04663987085223198,-18.406715393066406,1200.0,0.8384442925453186,0.07021010667085648,0.13333333333333333,0.06333333333333334,0.2012292891740799,11,240.0
0.04684727266430855,-21.66876983642578,1300.0,0.8384687900543213,0.07017785310745239,0.03333333333333333,0.06333333333333334,0.20124571025371552,12,260.0
0.04688657820224762,-21.588294982910156,1400.0,0.8383519053459167,0.07021446526050568,0.06666666666666667,0.08333333333333333,0.2011844664812088,13,280.0
0.04751722514629364,-20.85245704650879,1500.0,0.838167667388916,0.07030394673347473,0.06666666666666667,0.07666666666666667,0.20110683143138885,14,300.0
0.048419494181871414,-22.535451889038086,1600.0,0.8382229804992676,0.07035641372203827,0.08333333333333333,0.09333333333333334,0.2011287361383438,15,320.0
0.05025036633014679,-21.109241485595703,1700.0,0.8382319808006287,0.07042413204908371,0.09999999999999999,0.04666666666666667,0.20113326609134674,16,340.0
0.05212414264678955,-22.937192916870117,1800.0,0.8382823467254639,0.07116124778985977,0.05000000000000001,0.08,0.20116786658763885,17,360.0
0.053983982652425766,-22.78196144104004,1900.0,0.8381829261779785,0.07206165045499802,0.11666666666666665,0.09333333333333332,0.20114094018936157,18,380.0
