test/success_rate,epoch,train/success_rate,train/episode,test/episode,test/mean_Q,stats_g/std,stats_g/mean,stats_o/mean,stats_o/std
0.09999999999999999,0,0.043333333333333335,100.0,20.0,-2.461700916290283,0.06988684833049774,0.838930606842041,0.20134426653385162,0.0438741110265255
0.016666666666666666,1,0.08,200.0,40.0,-4.870600700378418,0.07018401473760605,0.8391246795654297,0.20139162242412567,0.04334704950451851
0.03333333333333333,2,0.06333333333333334,300.0,60.0,-6.338590145111084,0.0700712576508522,0.8385941386222839,0.20119397342205048,0.04342063143849373
0.05000000000000001,3,0.07,400.0,80.0,-8.343027114868164,0.07024181634187698,0.8393211364746094,0.20146572589874268,0.04468099772930145
0.03333333333333333,4,0.07666666666666667,500.0,100.0,-10.242622375488281,0.07049699872732162,0.8393867015838623,0.20156466960906982,0.04532870277762413
0.049999999999999996,5,0.053333333333333344,600.0,120.0,-11.815381050109863,0.07020313292741776,0.8393639922142029,0.2015598565340042,0.044974878430366516
0.11666666666666668,6,0.06666666666666667,700.0,140.0,-12.444633483886719,0.07185520976781845,0.8389878273010254,0.2015342265367508,0.04717990756034851
0.11666666666666665,7,0.09666666666666668,800.0,160.0,-13.620685577392578,0.07153796404600143,0.8389713168144226,0.20155827701091766,0.046527374535799026
0.06666666666666667,8,0.06333333333333334,900.0,180.0,-16.06859588623047,0.07178179919719696,0.8390288949012756,0.20153681933879852,0.04794539883732796
0.10000000000000002,9,0.09666666666666668,1000.0,200.0,-16.85186195373535,0.07198219001293182,0.8390410542488098,0.20143139362335205,0.049011990427970886
0.11666666666666665,10,0.08666666666666667,1100.0,220.0,-16.72014617919922,0.07213329523801804,0.8385696411132812,0.20135243237018585,0.04919600114226341
0.13333333333333333,11,0.06666666666666667,1200.0,240.0,-18.347932815551758,0.07198715955018997,0.8382139205932617,0.20119448006153107,0.049427833408117294
0.03333333333333333,12,0.06,1300.0,260.0,-20.508081436157227,0.0731896385550499,0.8380977511405945,0.20121215283870697,0.05035584047436714
0.06666666666666667,13,0.07666666666666666,1400.0,280.0,-21.327503204345703,0.07437147200107574,0.8379223346710205,0.20118196308612823,0.05184510350227356
0.06666666666666667,14,0.07333333333333335,1500.0,300.0,-19.474918365478516,0.07499375939369202,0.8377808928489685,0.2011553794145584,0.05265486612915993
0.11666666666666668,15,0.09333333333333334,1600.0,320.0,-21.336435317993164,0.07541067153215408,0.8377278447151184,0.20116929709911346,0.054006606340408325
0.06666666666666667,16,0.05333333333333334,1700.0,340.0,-18.8114013671875,0.07517936825752258,0.8378135561943054,0.20121736824512482,0.055278878659009933
