test/success_rate,train/episode,stats_o/std,train/success_rate,test/episode,stats_g/std,stats_o/mean,stats_g/mean,epoch,test/mean_Q
0.0,100.0,0.06708411872386932,0.0033333333333333335,20.0,0.12040111422538757,0.1701795607805252,0.7431110739707947,0,-3.2816498279571533
0.0,200.0,0.0651223286986351,0.0,40.0,0.11620419472455978,0.1709359884262085,0.742636501789093,1,-5.288835048675537
0.016666666666666666,300.0,0.06559091061353683,0.0033333333333333335,60.0,0.11660945415496826,0.17087052762508392,0.7437694668769836,2,-7.1322760581970215
0.0,400.0,0.06632734090089798,0.0,80.0,0.11811372637748718,0.17091159522533417,0.7445815205574036,3,-9.20015811920166
0.016666666666666666,500.0,0.06765573471784592,0.0,100.0,0.12433912605047226,0.17114388942718506,0.7452172636985779,4,-10.88105297088623
0.0,600.0,0.06929271668195724,0.0,120.0,0.1277429163455963,0.1714593917131424,0.7456398606300354,5,-12.864204406738281
0.0,700.0,0.07277656346559525,0.006666666666666667,140.0,0.13247063755989075,0.1720948964357376,0.7467054724693298,6,-14.035624504089355
0.03333333333333333,800.0,0.07508383691310883,0.006666666666666667,160.0,0.1385997086763382,0.17200811207294464,0.7468383312225342,7,-13.417091369628906
0.03333333333333333,900.0,0.07796882838010788,0.01,180.0,0.14416423439979553,0.17244881391525269,0.7490763068199158,8,-16.138029098510742
0.08333333333333333,1000.0,0.07956744730472565,0.03333333333333333,200.0,0.1481112241744995,0.17259813845157623,0.7507448196411133,9,-15.964964866638184
0.0,1100.0,0.08150019496679306,0.02666666666666667,220.0,0.15172436833381653,0.17306578159332275,0.7520979046821594,10,-17.959312438964844
0.08333333333333333,1200.0,0.08324545621871948,0.03,240.0,0.15438136458396912,0.17333656549453735,0.7531893849372864,11,-17.87203025817871
0.03333333333333333,1300.0,0.08551802486181259,0.03666666666666667,260.0,0.15730777382850647,0.17367227375507355,0.7549042701721191,12,-18.477935791015625
0.11666666666666665,1400.0,0.08814230561256409,0.023333333333333334,280.0,0.16251392662525177,0.1740952879190445,0.7563274502754211,13,-16.35569953918457
0.11666666666666668,1500.0,0.09038174897432327,0.05666666666666667,300.0,0.16643278300762177,0.17458124458789825,0.7581636309623718,14,-16.886268615722656
0.08333333333333333,1600.0,0.09253039956092834,0.06,320.0,0.16974283754825592,0.17506104707717896,0.7603446841239929,15,-16.417482376098633
0.06666666666666667,1700.0,0.09338553994894028,0.060000000000000005,340.0,0.17193269729614258,0.17559726536273956,0.7623176574707031,16,-15.343791007995605
0.13333333333333333,1800.0,0.09348225593566895,0.05333333333333334,360.0,0.17252254486083984,0.1760975569486618,0.7652187347412109,17,-16.349605560302734
0.13333333333333333,1900.0,0.09354863315820694,0.08333333333333333,380.0,0.17309792339801788,0.17649652063846588,0.7675621509552002,18,-15.225780487060547
0.21666666666666667,2000.0,0.09408217668533325,0.11333333333333333,400.0,0.17373283207416534,0.1769150048494339,0.7695013880729675,19,-16.165319442749023
0.3333333333333333,2100.0,0.09495074301958084,0.10333333333333333,420.0,0.17556528747081757,0.17725801467895508,0.771433413028717,20,-14.895060539245605
0.25,2200.0,0.09521157294511795,0.13333333333333333,440.0,0.17625655233860016,0.17735765874385834,0.7733304500579834,21,-15.552188873291016
0.25,2300.0,0.09531424194574356,0.11666666666666668,460.0,0.17644667625427246,0.17748314142227173,0.7753961682319641,22,-14.18871021270752
0.18333333333333335,2400.0,0.09526572376489639,0.12333333333333334,480.0,0.1766100376844406,0.17774170637130737,0.7773613929748535,23,-14.84632396697998
0.3,2500.0,0.09511807560920715,0.11,500.0,0.1764732152223587,0.1779448240995407,0.7793429493904114,24,-13.440422058105469
0.31666666666666665,2600.0,0.09506359696388245,0.12333333333333334,520.0,0.17623037099838257,0.17808444797992706,0.7808024883270264,25,-16.06908416748047
0.16666666666666666,2700.0,0.09482196718454361,0.15333333333333335,540.0,0.175937220454216,0.17824916541576385,0.7823513150215149,26,-16.544301986694336
0.31666666666666665,2800.0,0.09483114629983902,0.09666666666666668,560.0,0.1757773756980896,0.1783551722764969,0.7834455966949463,27,-15.260991096496582
0.5166666666666667,2900.0,0.0948195829987526,0.11666666666666668,580.0,0.17576037347316742,0.17864005267620087,0.7848129272460938,28,-12.884787559509277
0.25,3000.0,0.09480323642492294,0.14333333333333334,600.0,0.17559008300304413,0.17889787256717682,0.7862367033958435,29,-15.983813285827637
0.38333333333333336,3100.0,0.09485384076833725,0.12333333333333334,620.0,0.17551153898239136,0.17917115986347198,0.7874252200126648,30,-14.82730484008789
0.43333333333333335,3200.0,0.09518622606992722,0.11333333333333334,640.0,0.17543236911296844,0.17944125831127167,0.788597047328949,31,-12.523284912109375
0.25,3300.0,0.09515201300382614,0.14333333333333334,660.0,0.17533642053604126,0.17975962162017822,0.7894694209098816,32,-14.106244087219238
0.4000000000000001,3400.0,0.09494137763977051,0.17666666666666667,680.0,0.1747792512178421,0.18008874356746674,0.7907108664512634,33,-14.396575927734375
0.45,3500.0,0.09517241269350052,0.18000000000000002,700.0,0.1745685189962387,0.18038278818130493,0.7916631698608398,34,-13.457618713378906
0.3666666666666667,3600.0,0.09519604593515396,0.1366666666666667,720.0,0.17458637058734894,0.1806565672159195,0.7926321625709534,35,-14.538941383361816
0.4666666666666666,3700.0,0.0954417809844017,0.13333333333333333,740.0,0.17469437420368195,0.1809481829404831,0.7936165928840637,36,-14.112597465515137
0.3,3800.0,0.09597605466842651,0.12000000000000001,760.0,0.17501311004161835,0.18120162189006805,0.7943865656852722,37,-17.01917266845703
