test/episode,test/success_rate,train/success_rate,train/episode,stats_g/std,epoch,stats_o/std,stats_g/mean,test/mean_Q,stats_o/mean
20.0,0.0,0.02,100.0,0.09156496077775955,0,0.04936492443084717,0.8431634902954102,-2.9802863597869873,0.2034662365913391
40.0,0.05000000000000001,0.04,200.0,0.09274792671203613,1,0.053442031145095825,0.8456122875213623,-4.6136603355407715,0.20373231172561646
60.0,0.05000000000000001,0.03333333333333333,300.0,0.09302512556314468,2,0.05132870748639107,0.8462579846382141,-6.538791656494141,0.20412929356098175
80.0,0.05000000000000001,0.043333333333333335,400.0,0.09340385347604752,3,0.050356343388557434,0.8465743064880371,-8.280967712402344,0.2042214423418045
100.0,0.016666666666666666,0.03333333333333333,500.0,0.09277733415365219,4,0.05138356611132622,0.8462522625923157,-10.15366268157959,0.20425353944301605
120.0,0.0,0.05666666666666667,600.0,0.09272187948226929,5,0.053240373730659485,0.8461827635765076,-12.503668785095215,0.20441500842571259
140.0,0.03333333333333333,0.02666666666666667,700.0,0.09358104318380356,6,0.055771101266145706,0.8466933369636536,-13.304469108581543,0.20452077686786652
160.0,0.06666666666666667,0.043333333333333335,800.0,0.09440067410469055,7,0.058294665068387985,0.8468400835990906,-14.533469200134277,0.2045813351869583
180.0,0.06666666666666667,0.03666666666666667,900.0,0.09483423829078674,8,0.059380289167165756,0.846308708190918,-14.97741985321045,0.20431824028491974
200.0,0.08333333333333333,0.05333333333333334,1000.0,0.09583690762519836,9,0.06332089751958847,0.8458647727966309,-15.02556324005127,0.20418983697891235
220.0,0.05000000000000001,0.06333333333333334,1100.0,0.09682969003915787,10,0.06548266112804413,0.8459151387214661,-17.360212326049805,0.20429222285747528
240.0,0.03333333333333333,0.05666666666666667,1200.0,0.09799005836248398,11,0.06802326440811157,0.8462483286857605,-18.179658889770508,0.20429261028766632
260.0,0.08333333333333333,0.08,1300.0,0.09790483117103577,12,0.07032433152198792,0.8464512825012207,-18.667551040649414,0.20429761707782745
280.0,0.03333333333333333,0.06333333333333334,1400.0,0.09818587452173233,13,0.07201360166072845,0.8465235829353333,-18.61952018737793,0.2043132781982422
300.0,0.18333333333333335,0.08666666666666667,1500.0,0.09893638640642166,14,0.07388743758201599,0.8463878631591797,-17.231182098388672,0.20432539284229279
320.0,0.13333333333333333,0.09333333333333334,1600.0,0.09937078505754471,15,0.07606834173202515,0.846201479434967,-18.17131996154785,0.20418794453144073
340.0,0.15,0.10666666666666667,1700.0,0.1002642884850502,16,0.07913684844970703,0.8460042476654053,-18.04905128479004,0.20413672924041748
360.0,0.15,0.11,1800.0,0.1005273088812828,17,0.08092843741178513,0.8456442952156067,-18.612192153930664,0.20391066372394562
380.0,0.18333333333333332,0.09666666666666668,1900.0,0.10118159651756287,18,0.08251851797103882,0.8453263640403748,-18.537399291992188,0.2037680298089981
400.0,0.19999999999999998,0.15333333333333335,2000.0,0.10114162415266037,19,0.08377552032470703,0.8454349040985107,-19.564586639404297,0.20384152233600616
420.0,0.21666666666666667,0.20333333333333334,2100.0,0.10138791054487228,20,0.08571752905845642,0.8453083038330078,-18.525434494018555,0.20369786024093628
440.0,0.18333333333333335,0.19666666666666668,2200.0,0.10162387043237686,21,0.08770943433046341,0.8454239368438721,-18.165502548217773,0.20367296040058136
460.0,0.3499999999999999,0.19333333333333336,2300.0,0.1014678105711937,22,0.08923796564340591,0.8455612063407898,-15.519248962402344,0.20368950068950653
480.0,0.3,0.24,2400.0,0.10168525576591492,23,0.09061941504478455,0.8456236720085144,-17.535545349121094,0.20378857851028442
500.0,0.3833333333333333,0.24,2500.0,0.10190480202436447,24,0.09186094254255295,0.8457191586494446,-14.821739196777344,0.20390810072422028
520.0,0.3666666666666667,0.26,2600.0,0.10233738273382187,25,0.09289022535085678,0.845682680606842,-16.93709373474121,0.2039743810892105
540.0,0.3333333333333333,0.2966666666666667,2700.0,0.10225794464349747,26,0.09395089000463486,0.8458099365234375,-20.33190155029297,0.2040439397096634
560.0,0.43333333333333335,0.3233333333333333,2800.0,0.10218488425016403,27,0.09510335326194763,0.8457334041595459,-17.954673767089844,0.20407533645629883
580.0,0.4666666666666666,0.2966666666666667,2900.0,0.1022975966334343,28,0.09629964828491211,0.8457119464874268,-14.499156951904297,0.20414383709430695
600.0,0.5499999999999999,0.29,3000.0,0.1026071086525917,29,0.09777761250734329,0.8457479476928711,-12.098771095275879,0.2042297124862671
620.0,0.3833333333333333,0.30666666666666664,3100.0,0.10292735695838928,30,0.09892375022172928,0.8456673622131348,-20.237882614135742,0.20423780381679535
640.0,0.3833333333333333,0.36999999999999994,3200.0,0.10353193432092667,31,0.10009018331766129,0.8456511497497559,-19.7156982421875,0.20433922111988068
660.0,0.48333333333333334,0.3566666666666667,3300.0,0.10371541976928711,32,0.10077997297048569,0.8453521728515625,-16.360261917114258,0.20439578592777252
680.0,0.5,0.3733333333333333,3400.0,0.10443053394556046,33,0.10175958275794983,0.8452178835868835,-17.76824378967285,0.2044028639793396
700.0,0.4833333333333334,0.32666666666666666,3500.0,0.10474264621734619,34,0.10291504114866257,0.8452437520027161,-14.274063110351562,0.2044600248336792
720.0,0.4166666666666667,0.3433333333333333,3600.0,0.1050996258854866,35,0.10386752337217331,0.8453853130340576,-18.135774612426758,0.20456695556640625
740.0,0.45,0.3666666666666667,3700.0,0.10513224452733994,36,0.10421892255544662,0.8453167080879211,-18.152280807495117,0.2045728713274002
760.0,0.45,0.38999999999999996,3800.0,0.10514605790376663,37,0.10468258708715439,0.8453713059425354,-17.356996536254883,0.20458923280239105
