test/success_rate,stats_o/mean,test/mean_Q,train/success_rate,train/episode,test/episode,stats_g/mean,stats_g/std,stats_o/std,epoch
0.0,0.20292209088802338,-2.9115331172943115,0.023333333333333334,100.0,20.0,0.8434281945228577,0.0906926766037941,0.05336180329322815,0
0.05000000000000001,0.2038552165031433,-4.578188419342041,0.03666666666666667,200.0,40.0,0.8459591269493103,0.09190297871828079,0.0535019189119339,1
0.05000000000000001,0.20413047075271606,-6.3322367668151855,0.03333333333333333,300.0,60.0,0.8465182185173035,0.09239854663610458,0.05270056053996086,2
0.016666666666666666,0.20418842136859894,-8.271137237548828,0.04666666666666667,400.0,80.0,0.8467323184013367,0.0927664041519165,0.05101955309510231,3
0.016666666666666666,0.20423631370067596,-10.392426490783691,0.043333333333333335,500.0,100.0,0.8465852737426758,0.0920063927769661,0.049960359930992126,4
0.0,0.2042596936225891,-12.625514030456543,0.053333333333333344,600.0,120.0,0.8464718461036682,0.09207972139120102,0.05427563562989235,5
0.03333333333333333,0.2044001966714859,-13.61430835723877,0.023333333333333334,700.0,140.0,0.8467633128166199,0.09348966926336288,0.057292986661195755,6
0.06666666666666667,0.20442847907543182,-14.372746467590332,0.03333333333333333,800.0,160.0,0.8467764258384705,0.09431994706392288,0.058594074100255966,7
0.06666666666666667,0.20433355867862701,-15.58155345916748,0.03333333333333333,900.0,180.0,0.8463085293769836,0.09441662579774857,0.05922709032893181,8
0.06666666666666667,0.20426374673843384,-16.07599639892578,0.04666666666666667,1000.0,200.0,0.8458144068717957,0.09529867768287659,0.06000734493136406,9
0.06666666666666667,0.20427604019641876,-18.655746459960938,0.04,1100.0,220.0,0.8458264470100403,0.09633994102478027,0.06151076778769493,10
0.016666666666666666,0.2043493539094925,-20.482566833496094,0.043333333333333335,1200.0,240.0,0.8458618521690369,0.09785277396440506,0.06386174261569977,11
0.05000000000000001,0.20439152419567108,-20.86390495300293,0.05000000000000001,1300.0,260.0,0.845811128616333,0.09851211309432983,0.06520523875951767,12
0.05000000000000001,0.20439720153808594,-20.44754981994629,0.043333333333333335,1400.0,280.0,0.8459751605987549,0.09878939390182495,0.06583332270383835,13
0.09999999999999999,0.20443814992904663,-20.902856826782227,0.07,1500.0,300.0,0.8461256623268127,0.09874718636274338,0.0667979046702385,14
0.11666666666666665,0.20444034039974213,-20.996185302734375,0.07333333333333335,1600.0,320.0,0.8459413647651672,0.09876380115747452,0.06781192868947983,15
0.08333333333333333,0.2045155018568039,-19.83258056640625,0.06,1700.0,340.0,0.8461015224456787,0.09871986508369446,0.06932654976844788,16
0.05000000000000001,0.20444262027740479,-20.611818313598633,0.07666666666666667,1800.0,360.0,0.8459256291389465,0.09865937381982803,0.07043338567018509,17
0.06666666666666667,0.204325869679451,-22.261449813842773,0.06333333333333334,1900.0,380.0,0.8457346558570862,0.09890565276145935,0.07185695320367813,18
0.13333333333333333,0.20442445576190948,-22.267133712768555,0.06666666666666667,2000.0,400.0,0.845919668674469,0.09850234538316727,0.0729726105928421,19
0.13333333333333333,0.20446611940860748,-21.670896530151367,0.09666666666666668,2100.0,420.0,0.8458053469657898,0.09877138584852219,0.07457106560468674,20
0.11666666666666668,0.20443110167980194,-22.523405075073242,0.10666666666666667,2200.0,440.0,0.846005380153656,0.09940847009420395,0.07655324041843414,21
0.2833333333333334,0.20433823764324188,-17.625967025756836,0.12666666666666668,2300.0,460.0,0.8460752964019775,0.09947573393583298,0.07854683697223663,22
0.20000000000000004,0.20436881482601166,-19.820449829101562,0.16333333333333333,2400.0,480.0,0.8461706638336182,0.09951392561197281,0.07956500351428986,23
0.2333333333333333,0.20441490411758423,-17.84633445739746,0.15333333333333335,2500.0,500.0,0.8461868762969971,0.10007985681295395,0.08122043311595917,24
0.25,0.20448242127895355,-19.616247177124023,0.18333333333333335,2600.0,520.0,0.8461795449256897,0.10016271471977234,0.08243090659379959,25
0.25,0.2043987661600113,-21.57317543029785,0.17,2700.0,540.0,0.8461921215057373,0.10013347119092941,0.08401908725500107,26
0.26666666666666666,0.20441770553588867,-19.754276275634766,0.19333333333333336,2800.0,560.0,0.8461102843284607,0.10050618648529053,0.08519736677408218,27
0.2333333333333333,0.20448262989521027,-18.455690383911133,0.17333333333333334,2900.0,580.0,0.8460560441017151,0.10091457515954971,0.0867258682847023,28
0.4000000000000001,0.20445550978183746,-13.527996063232422,0.19333333333333333,3000.0,600.0,0.8460412621498108,0.1010357141494751,0.08753419667482376,29
0.25,0.2044571191072464,-22.443374633789062,0.22333333333333336,3100.0,620.0,0.8458873629570007,0.10115375369787216,0.08833970874547958,30
0.3666666666666667,0.2043939083814621,-21.190959930419922,0.24333333333333332,3200.0,640.0,0.8458260893821716,0.10154753923416138,0.08907195180654526,31
0.25,0.2043805569410324,-20.232866287231445,0.24666666666666667,3300.0,660.0,0.8456377387046814,0.10154342651367188,0.08986905217170715,32
0.3,0.2044212371110916,-19.839441299438477,0.24666666666666667,3400.0,680.0,0.8456024527549744,0.1016499474644661,0.09072937816381454,33
0.31666666666666665,0.2044389694929123,-18.929779052734375,0.2733333333333334,3500.0,700.0,0.8456072807312012,0.10162556171417236,0.09155532717704773,34
0.25,0.20445775985717773,-20.84819221496582,0.2733333333333333,3600.0,720.0,0.8456224799156189,0.10174588114023209,0.09273826330900192,35
0.35000000000000003,0.20447532832622528,-20.14175796508789,0.29000000000000004,3700.0,740.0,0.8456256985664368,0.10172572731971741,0.09338155388832092,36
