train/success_rate,epoch,stats_o/mean,stats_o/std,stats_g/mean,test/mean_Q,test/episode,train/episode,stats_g/std,test/success_rate
0.18333333333333335,0,0.25554895401000977,0.031026119366288185,0.8519296646118164,-0.6594412326812744,20.0,20.0,0.09592405706644058,0.6833333333333332
0.6333333333333333,1,0.2565692961215973,0.029603084549307823,0.8547945022583008,-0.6242437958717346,40.0,40.0,0.08993393182754517,0.9333333333333332
0.8166666666666668,2,0.25758031010627747,0.029344504699110985,0.8573558926582336,-0.5439254641532898,60.0,60.0,0.08822468668222427,1.0
0.8833333333333333,3,0.25909581780433655,0.029858684167265892,0.8628223538398743,-0.425015926361084,80.0,80.0,0.0892435684800148,1.0
0.7666666666666666,4,0.2600143551826477,0.029969537630677223,0.8659923076629639,-0.33893609046936035,100.0,100.0,0.08871062844991684,1.0
0.7666666666666666,5,0.26013416051864624,0.03023914434015751,0.8664930462837219,-0.24201853573322296,120.0,120.0,0.0886729285120964,1.0
0.8500000000000001,6,0.2602553367614746,0.03011014498770237,0.8669907450675964,-0.15588539838790894,140.0,140.0,0.08760511875152588,1.0
0.7833333333333333,7,0.2607089579105377,0.030110061168670654,0.8685700297355652,-0.11159179359674454,160.0,160.0,0.08706275373697281,1.0
0.7833333333333333,8,0.2608604431152344,0.030214309692382812,0.8691104054450989,-0.12154940515756607,180.0,180.0,0.08693506568670273,1.0
0.8333333333333334,9,0.26105788350105286,0.030397221446037292,0.8697898983955383,-0.14100302755832672,200.0,200.0,0.08705609291791916,1.0
0.8666666666666666,10,0.2610287666320801,0.030405649915337563,0.8697077631950378,-0.09211894124746323,220.0,220.0,0.08683948963880539,1.0
0.8166666666666668,11,0.2611432671546936,0.030463313683867455,0.8700485825538635,-0.11902878433465958,240.0,240.0,0.08668044209480286,1.0
0.8166666666666668,12,0.26127129793167114,0.03049865923821926,0.8704838752746582,-0.09704633802175522,260.0,260.0,0.08664417266845703,1.0
0.65,13,0.2616438567638397,0.030569806694984436,0.8719070553779602,-0.09255268424749374,280.0,280.0,0.08669179677963257,1.0
0.7833333333333333,14,0.2617756128311157,0.030571406707167625,0.8722701072692871,-0.10720998793840408,300.0,300.0,0.0864967331290245,1.0
0.7666666666666666,15,0.2619190514087677,0.030604898929595947,0.8728346228599548,-0.1408436894416809,320.0,320.0,0.08647695183753967,1.0
0.65,16,0.2619646191596985,0.03063155710697174,0.8729515075683594,-0.08908287435770035,340.0,340.0,0.08650379627943039,1.0
0.8666666666666666,17,0.2620678246021271,0.030670979991555214,0.8733565211296082,-0.09518951177597046,360.0,360.0,0.08650675415992737,1.0
0.7333333333333334,18,0.26206353306770325,0.030686786398291588,0.8733298182487488,-0.11181002855300903,380.0,380.0,0.08649507910013199,1.0
0.85,19,0.2621515393257141,0.030775198712944984,0.8736489415168762,-0.14678733050823212,400.0,400.0,0.08676359802484512,1.0
0.75,20,0.26224619150161743,0.030798280611634254,0.8739416599273682,-0.07183370739221573,420.0,420.0,0.08677461743354797,1.0
0.8666666666666667,21,0.262221097946167,0.03082416020333767,0.873849093914032,-0.09985222667455673,440.0,440.0,0.08684360980987549,1.0
0.7666666666666666,22,0.2623167634010315,0.03078257478773594,0.8742146492004395,-0.10474395751953125,460.0,460.0,0.08666080236434937,1.0
0.7833333333333333,23,0.26247745752334595,0.030763855203986168,0.8748517036437988,-0.06763514131307602,480.0,480.0,0.08658409118652344,1.0
0.7166666666666667,24,0.2625388205051422,0.030770516023039818,0.8751029968261719,-0.07388103753328323,500.0,500.0,0.08658629655838013,1.0
0.8000000000000002,25,0.2625683546066284,0.030778774991631508,0.8752291798591614,-0.09416500478982925,520.0,520.0,0.08661199361085892,1.0
0.85,26,0.26258885860443115,0.030787581577897072,0.8753148913383484,-0.11359494924545288,540.0,540.0,0.08663702011108398,1.0
0.6999999999999998,27,0.2626146078109741,0.030760278925299644,0.8754210472106934,-0.0802479013800621,560.0,560.0,0.08649536967277527,1.0
0.7999999999999999,28,0.26258641481399536,0.03078564442694187,0.875289261341095,-0.0974658951163292,580.0,580.0,0.08654048293828964,1.0
0.6833333333333332,29,0.26255494356155396,0.030729467049241066,0.8751921653747559,-0.052153438329696655,600.0,600.0,0.08634041994810104,1.0
0.7999999999999999,30,0.26261013746261597,0.030723491683602333,0.8753774762153625,-0.09092242270708084,620.0,620.0,0.08633235841989517,1.0
0.7666666666666667,31,0.2626599669456482,0.030720189213752747,0.8755747675895691,-0.07154310494661331,640.0,640.0,0.08625680953264236,1.0
0.7833333333333333,32,0.2626275420188904,0.030778497457504272,0.8754326701164246,-0.09542594105005264,660.0,660.0,0.08640656620264053,1.0
0.75,33,0.2626560926437378,0.030800282955169678,0.8755257725715637,-0.11027443408966064,680.0,680.0,0.08646748214960098,1.0
0.7333333333333334,34,0.26265254616737366,0.030793795362114906,0.8754951357841492,-0.08824648708105087,700.0,700.0,0.08642038702964783,1.0
0.7000000000000001,35,0.2627118229866028,0.03077593445777893,0.8757144808769226,-0.08005449920892715,720.0,720.0,0.08634471893310547,1.0
0.8166666666666668,36,0.2627396285533905,0.030766651034355164,0.8758305907249451,-0.09320458024740219,740.0,740.0,0.08629079908132553,1.0
0.7333333333333334,37,0.26273149251937866,0.03077489696443081,0.8758236765861511,-0.09970013052225113,760.0,760.0,0.08630748838186264,1.0
0.6999999999999998,38,0.2627626061439514,0.030777478590607643,0.8759148120880127,-0.09050460904836655,780.0,780.0,0.08629906922578812,1.0
