test/mean_Q,train/episode,stats_g/std,stats_o/mean,stats_g/mean,test/success_rate,stats_o/std,test/episode,epoch,train/success_rate
-2.466521978378296,100.0,0.06966090947389603,0.20122569799423218,0.8390495181083679,0.09999999999999999,0.04247863590717316,20.0,0,0.043333333333333335
-4.775167942047119,200.0,0.06998609006404877,0.20106090605258942,0.8392202258110046,0.016666666666666666,0.04380880668759346,40.0,1,0.08
-6.229732513427734,300.0,0.06979385018348694,0.20101921260356903,0.8385946154594421,0.03333333333333333,0.044585179537534714,60.0,2,0.07666666666666666
-8.34170150756836,400.0,0.06986037641763687,0.20127876102924347,0.8393530249595642,0.05000000000000001,0.04355275258421898,80.0,3,0.07333333333333333
-10.4872407913208,500.0,0.07238613814115524,0.20127052068710327,0.8393075466156006,0.016666666666666666,0.047637153416872025,100.0,4,0.07666666666666667
-11.730225563049316,600.0,0.07224610447883606,0.20132873952388763,0.8393070697784424,0.03333333333333333,0.047488585114479065,120.0,5,0.04666666666666667
-12.613166809082031,700.0,0.07259700447320938,0.20128333568572998,0.8389943242073059,0.11666666666666668,0.04748038575053215,140.0,6,0.06333333333333334
-13.550496101379395,800.0,0.07400748878717422,0.2014019936323166,0.83891361951828,0.11666666666666665,0.04856486618518829,160.0,7,0.09000000000000001
-16.133914947509766,900.0,0.07386588305234909,0.20134373009204865,0.8390002250671387,0.05000000000000001,0.04916815832257271,180.0,8,0.06
-16.42142677307129,1000.0,0.07426916807889938,0.20136003196239471,0.8389625549316406,0.10000000000000002,0.0511159785091877,200.0,9,0.09333333333333334
-16.868305206298828,1100.0,0.07479464262723923,0.2012586146593094,0.838507890701294,0.13333333333333333,0.0522773303091526,220.0,10,0.08666666666666667
-17.433021545410156,1200.0,0.07479014992713928,0.20116035640239716,0.8382115364074707,0.09999999999999999,0.05256705358624458,240.0,11,0.06333333333333334
-18.88164520263672,1300.0,0.07527250796556473,0.20119397342205048,0.8382109999656677,0.05000000000000001,0.05340909585356712,260.0,12,0.06
-19.806215286254883,1400.0,0.07525947690010071,0.20119333267211914,0.8381111025810242,0.08333333333333333,0.054771970957517624,280.0,13,0.08666666666666667
-18.43256187438965,1500.0,0.07601692527532578,0.20118844509124756,0.8379737734794617,0.06666666666666667,0.05681611970067024,300.0,14,0.07
-19.840105056762695,1600.0,0.07629557698965073,0.2011791467666626,0.8380029797554016,0.10000000000000002,0.057906318455934525,320.0,15,0.09666666666666668
-19.595380783081055,1700.0,0.07628609240055084,0.20121635496616364,0.8380598425865173,0.08333333333333333,0.05882227048277855,340.0,16,0.04666666666666667
-20.35614013671875,1800.0,0.07628270983695984,0.20126716792583466,0.8381912112236023,0.05000000000000001,0.05992225930094719,360.0,17,0.09333333333333334
-20.46776008605957,1900.0,0.07606512308120728,0.20119290053844452,0.8382083773612976,0.08333333333333333,0.06091064587235451,380.0,18,0.09666666666666668
-20.92330551147461,2000.0,0.07579861581325531,0.20119567215442657,0.8382415771484375,0.11666666666666665,0.06084923818707466,400.0,19,0.09666666666666666
-22.23500633239746,2100.0,0.07573027163743973,0.20124661922454834,0.8383883833885193,0.03333333333333333,0.06149922311306,420.0,20,0.07666666666666667
-22.763822555541992,2200.0,0.07583113014698029,0.20125509798526764,0.8383848071098328,0.11666666666666665,0.062156323343515396,440.0,21,0.09000000000000001
-22.8761043548584,2300.0,0.07569517195224762,0.20124654471874237,0.8381989598274231,0.11666666666666665,0.06238894164562225,460.0,22,0.08333333333333333
-23.95684814453125,2400.0,0.07575113326311111,0.20123331248760223,0.8380529880523682,0.11666666666666665,0.06273487955331802,480.0,23,0.08
-23.79530906677246,2500.0,0.07566562294960022,0.20124439895153046,0.8382759690284729,0.10000000000000002,0.06293252110481262,500.0,24,0.09000000000000001
-21.856969833374023,2600.0,0.0756603255867958,0.2012355774641037,0.8384220004081726,0.18333333333333335,0.06353326886892319,520.0,25,0.11
-23.650259017944336,2700.0,0.07566647231578827,0.20124131441116333,0.8385074734687805,0.15,0.06391947716474533,540.0,26,0.15666666666666665
-19.819326400756836,2800.0,0.07562080770730972,0.20122890174388885,0.8385739326477051,0.16666666666666666,0.06416005641222,560.0,27,0.12666666666666668
-23.325546264648438,2900.0,0.07537227869033813,0.20126785337924957,0.8386311531066895,0.11666666666666665,0.06437086313962936,580.0,28,0.13
-23.924734115600586,3000.0,0.07588641345500946,0.20125822722911835,0.8385822772979736,0.16666666666666666,0.06538733839988708,600.0,29,0.18000000000000002
-20.610977172851562,3100.0,0.07614754885435104,0.20122124254703522,0.838711678981781,0.21666666666666667,0.06600189208984375,620.0,30,0.14333333333333334
-20.981185913085938,3200.0,0.07616393268108368,0.20125313103199005,0.8388814926147461,0.2333333333333333,0.06682559847831726,640.0,31,0.18000000000000002
-21.943403244018555,3300.0,0.0764261931180954,0.2012791633605957,0.8390953540802002,0.3,0.06813705712556839,660.0,32,0.21333333333333335
-20.574419021606445,3400.0,0.07675326615571976,0.20130495727062225,0.839232861995697,0.3333333333333333,0.06912267953157425,680.0,33,0.25
-14.685709953308105,3500.0,0.07718003541231155,0.2013000249862671,0.8393983244895935,0.39999999999999997,0.07056482136249542,700.0,34,0.25
-16.082124710083008,3600.0,0.0775483027100563,0.20131206512451172,0.8394611477851868,0.35000000000000003,0.07193350046873093,720.0,35,0.3033333333333333
-12.7459716796875,3700.0,0.07779550552368164,0.20127813518047333,0.8395290374755859,0.4833333333333334,0.0739620178937912,740.0,36,0.35666666666666663
-10.174101829528809,3800.0,0.07803596556186676,0.20125900208950043,0.8395294547080994,0.5,0.0753590539097786,760.0,37,0.44
