train/episode,stats_g/mean,test/success_rate,stats_o/std,test/mean_Q,train/success_rate,epoch,stats_g/std,test/episode,stats_o/mean
100.0,0.7431110739707947,0.0,0.06708411872386932,-3.2816498279571533,0.0033333333333333335,0,0.12040111422538757,20.0,0.1701795607805252
200.0,0.742636501789093,0.0,0.0651223286986351,-5.288835048675537,0.0,1,0.11620419472455978,40.0,0.1709359884262085
300.0,0.7437694668769836,0.016666666666666666,0.06559091061353683,-7.1322760581970215,0.0033333333333333335,2,0.11660945415496826,60.0,0.17087052762508392
400.0,0.7445815205574036,0.0,0.06632734090089798,-9.20015811920166,0.0,3,0.11811372637748718,80.0,0.17091159522533417
500.0,0.7452172636985779,0.016666666666666666,0.06765573471784592,-10.88105297088623,0.0,4,0.12433912605047226,100.0,0.17114388942718506
600.0,0.7456398606300354,0.0,0.06929271668195724,-12.864204406738281,0.0,5,0.1277429163455963,120.0,0.1714593917131424
700.0,0.7467054724693298,0.0,0.07277656346559525,-14.035624504089355,0.006666666666666667,6,0.13247063755989075,140.0,0.1720948964357376
800.0,0.7468383312225342,0.03333333333333333,0.07508383691310883,-13.417091369628906,0.006666666666666667,7,0.1385997086763382,160.0,0.17200811207294464
900.0,0.7490763068199158,0.03333333333333333,0.07796882838010788,-16.138029098510742,0.01,8,0.14416423439979553,180.0,0.17244881391525269
1000.0,0.7507448196411133,0.08333333333333333,0.07956744730472565,-15.964964866638184,0.03333333333333333,9,0.1481112241744995,200.0,0.17259813845157623
1100.0,0.7520979046821594,0.0,0.08150019496679306,-17.959312438964844,0.02666666666666667,10,0.15172436833381653,220.0,0.17306578159332275
1200.0,0.7531893849372864,0.08333333333333333,0.08324545621871948,-17.87203025817871,0.03,11,0.15438136458396912,240.0,0.17333656549453735
1300.0,0.7549042701721191,0.03333333333333333,0.08551802486181259,-18.477935791015625,0.03666666666666667,12,0.15730777382850647,260.0,0.17367227375507355
1400.0,0.7563274502754211,0.11666666666666665,0.08814230561256409,-16.35569953918457,0.023333333333333334,13,0.16251392662525177,280.0,0.1740952879190445
1500.0,0.7581636309623718,0.11666666666666668,0.09038174897432327,-16.886268615722656,0.05666666666666667,14,0.16643278300762177,300.0,0.17458124458789825
1600.0,0.7603446841239929,0.08333333333333333,0.09253039956092834,-16.417482376098633,0.06,15,0.16974283754825592,320.0,0.17506104707717896
1700.0,0.7623176574707031,0.06666666666666667,0.09338553994894028,-15.343791007995605,0.060000000000000005,16,0.17193269729614258,340.0,0.17559726536273956
1800.0,0.7652187347412109,0.13333333333333333,0.09348225593566895,-16.349605560302734,0.05333333333333334,17,0.17252254486083984,360.0,0.1760975569486618
1900.0,0.7675621509552002,0.13333333333333333,0.09354863315820694,-15.225780487060547,0.08333333333333333,18,0.17309792339801788,380.0,0.17649652063846588
2000.0,0.7695013880729675,0.21666666666666667,0.09408217668533325,-16.165319442749023,0.11333333333333333,19,0.17373283207416534,400.0,0.1769150048494339
2100.0,0.771433413028717,0.3333333333333333,0.09495074301958084,-14.895060539245605,0.10333333333333333,20,0.17556528747081757,420.0,0.17725801467895508
2200.0,0.7733304500579834,0.25,0.09521157294511795,-15.552188873291016,0.13333333333333333,21,0.17625655233860016,440.0,0.17735765874385834
2300.0,0.7753961682319641,0.25,0.09531424194574356,-14.18871021270752,0.11666666666666668,22,0.17644667625427246,460.0,0.17748314142227173
2400.0,0.7773613929748535,0.18333333333333335,0.09526572376489639,-14.84632396697998,0.12333333333333334,23,0.1766100376844406,480.0,0.17774170637130737
2500.0,0.7793429493904114,0.3,0.09511807560920715,-13.440422058105469,0.11,24,0.1764732152223587,500.0,0.1779448240995407
2600.0,0.7808024883270264,0.31666666666666665,0.09506359696388245,-16.06908416748047,0.12333333333333334,25,0.17623037099838257,520.0,0.17808444797992706
2700.0,0.7823513150215149,0.16666666666666666,0.09482196718454361,-16.544301986694336,0.15333333333333335,26,0.175937220454216,540.0,0.17824916541576385
2800.0,0.7834455966949463,0.31666666666666665,0.09483114629983902,-15.260991096496582,0.09666666666666668,27,0.1757773756980896,560.0,0.1783551722764969
2900.0,0.7848129272460938,0.5166666666666667,0.0948195829987526,-12.884787559509277,0.11666666666666668,28,0.17576037347316742,580.0,0.17864005267620087
3000.0,0.7862367033958435,0.25,0.09480323642492294,-15.983813285827637,0.14333333333333334,29,0.17559008300304413,600.0,0.17889787256717682
3100.0,0.7874252200126648,0.38333333333333336,0.09485384076833725,-14.82730484008789,0.12333333333333334,30,0.17551153898239136,620.0,0.17917115986347198
3200.0,0.788597047328949,0.43333333333333335,0.09518622606992722,-12.523284912109375,0.11333333333333334,31,0.17543236911296844,640.0,0.17944125831127167
3300.0,0.7894694209098816,0.25,0.09515201300382614,-14.106244087219238,0.14333333333333334,32,0.17533642053604126,660.0,0.17975962162017822
3400.0,0.7907108664512634,0.4000000000000001,0.09494137763977051,-14.396575927734375,0.17666666666666667,33,0.1747792512178421,680.0,0.18008874356746674
3500.0,0.7916631698608398,0.45,0.09517241269350052,-13.457618713378906,0.18000000000000002,34,0.1745685189962387,700.0,0.18038278818130493
3600.0,0.7926321625709534,0.3666666666666667,0.09519604593515396,-14.538941383361816,0.1366666666666667,35,0.17458637058734894,720.0,0.1806565672159195
3700.0,0.7936165928840637,0.4666666666666666,0.0954417809844017,-14.112597465515137,0.13333333333333333,36,0.17469437420368195,740.0,0.1809481829404831
3800.0,0.7943865656852722,0.3,0.09597605466842651,-17.01917266845703,0.12000000000000001,37,0.17501311004161835,760.0,0.18120162189006805
